!,,,,,,,,+++,,,,+++,+++,,,---,,,,
@@,act_id,agent,action,act_object,act_target,start,end,narrative_time,discussion,source,page,source_status,fictionality,commentary,note,id_lang,created,created_by,last_modified,last_modified_by
+++,A01417,P1004,AT47,AW00182,,1972~,1972~,,they were sent to watch movies in a village nearby and had to retell them to the peasants of their own village,SS00263,41,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01418,P1005,AT47,AW00182,,1972~,1972~,,they were sent to watch movies in a village nearby and had to retell them to the peasants of their own village,SS00263,41,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01419,P1005,AT48,PS09999,,1973,1973,,They want to steal Le Binoclard‘s hidden suitcase full of western literature,SS00263,104ff,3,F,among them are books by P0092; P0261; P0288; P0304; P0342;P0093;P0380;P0323; P0325; P0233; P0160; P1016; P0321.,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01420,P1004,AT48,PS09999,,1973,1973,,They want to steal Le Binoclard‘s hidden suitcase full of western literature,SS00263,104ff,3,F,among them are books by P0092; P0261; P0288; P0304; P0342;P0093;P0380;P0323; P0325; P0233; P0160; P1016; P0321.,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01421,P1004,AT01,PS00804,P1006,1973,1973,,Luo wants to make her ‚une fille belle et cultivée‘,SS00263,113;116,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01422,P1005,AT01,PS00350,,1973,1973,,his favorite book. It changed his unterstanding of individualism and life,SS00263,114f,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01423,P1005,AT01,PS09999,,1973,1973,,,SS00263,114,3,F,unknown work by P0325,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01424,P1005,AT01,PS09999,,1973,1973,,,SS00263,114,3,F,unknown work by P0342,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01425,P1005,AT01,PS09999,,1973,1973,,,SS00263,114,3,F,unknown work by P1012,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01426,P1005,AT01,PS09999,,1973,1973,,,SS00263,,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01427,P1005,AT03,PS00804,P1004,1973,1973,,as present,SS00263,115,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01428,P1005,AT03,PS00053,P1004,1973,1973,,as present,SS00263,115,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01429,P1005,AT03,PS00803,P1004,1973,1973,,as present,SS00263,115,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01430,P1004,AT03,PS00350,P1005,1973,1973,,as birthday present,SS00263,115,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01431,P1005,AT04,PS00350,,1973,1973,,,SS00263,119,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01432,P1004,AT46,PS00809,,1973~,1973~,,he burns the books after the little seamstress left her village to live in a city,SS00263,182f,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01433,P1004,AT46,PS00810,,1973~,1973~,,he burns the books after the little seamstress left her village to live in a city,SS00263,182f,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01434,P1004,AT46,PS00811,,1973~,1973~,,he burns the books after the little seamstress left her village to live in a city,SS00263,182f,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01435,P1004,AT46,PS00053,,1973~,1973~,,he burns the books after the little seamstress left her village to live in a city,SS00263,182f,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01436,P1004,AT46,PS00806,,1973~,1973~,,he burns the books after the little seamstress left her village to live in a city,SS00263,182f,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01437,P1004,AT46,PS00804,,1973~,1973~,,he burns the books after the little seamstress left her village to live in a city,SS00263,182f,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01438,P1004,AT46,PS00803,,1973~,1973~,,he burns the books after the little seamstress left her village to live in a city,SS00263,182f,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01439,P1005,AT45,PS00811,,,,,narrator cites a verse which appears in the passage related to Emma Bovary‘s death,SS00263,183,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01440,P1006,AT16,PS00811,,1973~,1973~,,the seamstress makes a set of clothes and gets her hair cut inspired by her reading,SS00263,185,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01441,P1007,AT16,PS09999,,1973~,1973~,,Balzac made her understand one thing: ‚la beauté d‘une femme est un trésor qui n‘a pas de prix‘,SS00263,191,3,F,works by P0092,,NULL,2019-08-03,MG,2021-06-21,MG
+++,A01442,P1021,AT13,PS09999,,1977,1977,,writes a bugle poem 号角诗,SS00267,5,3,F,Clear reference to practices of writing poems in the 1970s; particularly those with propagandistic / political impetus,page numbers refer to sections in the text,NULL,2019-11-08,MG,2019-11-25,MG
+++,A01443,P1022,AT12,PS00194,,1977,1977,,This is among his possessions which were confiscated: a bicycle lock that was used for fighting; a deck of cards; chromed cigarette box with a build-in lighter,SS00267,5,3,F,,,NULL,2019-11-08,MG,2019-11-25,MG
+++,A01444,P1023,AT43,PS00194,,1977,1977,,,SS00267,5,3,F,,,NULL,2019-11-08,MG,2019-11-25,MG
+++,A01445,P1023,AT49,PS00194,,1977,1977,,Evaluates as pornographic (illustrations of foreign men and women make her draw this conclusion),SS00267,5,3,F,,,NULL,2019-11-08,MG,2019-11-25,MG
+++,A01446,P1023,AT50,PS00194,,1977,1977,,Evaluates as pornographic (and wants to do a thorough criticism),SS00267,5,3,F,,,NULL,2019-11-08,MG,2019-11-25,MG
+++,A01447,P1020,AT04,PS00194,,195x,195x,1,In his youth the book was recommended by the Youth League committee,SS00267,5,3,F,,,NULL,2019-11-08,MG,2019-11-25,MG
+++,A01448,P1020,AT26,PS00194,,1977,1977,,he has fond memories of the book and forbids P1023 to call the book pornographic,SS00267,5,3,F,,,NULL,2019-11-08,MG,2019-11-25,MG
+++,A01449,P1023,AT51,PS09999,,1977,1977,,she innocently worships everything in print,SS00267,5,3,F,XHM is characterized as a ‚typical‘ CR reader who loves to read but has limited access and believes everything the party writes; back then her parents advised her to read the newspaper diligently (SS00264 : p. 96),p. 96 (english version: SS00264),NULL,2019-11-08,MG,2019-11-25,MG
+++,A01450,P1021,AT01,PS00590,,1977,1977,,she is excited by it,SS00267,5,3,F,Song of Youth is reprinted – which is an indication that things are getting more liberal,,NULL,2019-11-08,MG,2019-11-25,MG
+++,A01451,P1023,AT01,PS00590,,1977,1977,,,SS00267,5,3,F,,,NULL,2019-11-09,MG,2019-11-25,MG
+++,A01452,P1023,AT49,PS00590,,1977,1977,,she evaluates the book as pornographic,SS00267,5,3,F,,,NULL,2019-11-09,MG,2019-11-25,MG
+++,A01453,P1021,AT12,PS00590,,1977,1977,,confiscated by P1023,SS00267,5,3,F,,,NULL,2019-11-09,MG,2019-11-25,MG
+++,A01454,P1021,AT01,PS00194,,1977,1977,,,SS00267,5,3,F,,,NULL,2019-11-09,MG,2019-11-25,MG
+++,A01455,P1021,AT01,PS00218,,1977,1977,,,SS00267,5,3,F,,,NULL,2019-11-09,MG,2019-11-25,MG
+++,A01456,P1021,AT26,PS00194,,1977,1977,,,SS00267,5,3,F,SS00264 : p.98: ‘I heard my father and mother say that The Gadfly is worth reading! These last couple of days I have been reading How the Steel was Tempered. In the novel Pavel Korchagin is a proletarian hero but he especially admires ‘the gadfly’…’,,NULL,2019-11-09,MG,2019-11-25,MG
+++,A01457,P1021,AT05,PS00218,,1977,1977,,Refers to … to legitimize the value of The Gadfly,SS00267,5,3,F,,,NULL,2019-11-09,MG,2019-11-25,MG
+++,A01458,P1020,AT19,PS00194,P1023,1977,1977,,P1023 does not understand the reaction of P1020,SS00267,5,3,F,T Z: ‘How could you know that Song Baoqi and his fellows did not read it as a ‘pornographic book’? The phenomena of life were complicated. The encounters of this copy of The Gadfly were bizarre enough. Children like Xie Huimin who were still quite naïve would need ample time and a proper place to understand the exceedingly complicated life and the literary works that included both treasures and trash’,,NULL,2019-11-09,MG,2019-11-25,MG
+++,A01459,P1022,AT53,PS00194,,1977,1977,,paints a moustache on illustrations of the heroine of The Gadfly,SS00267,5,3,F,,,NULL,2019-11-09,MG,2019-11-25,MG
+++,A01460,P1022,AT52,PS00194,,1977,1977,,牛亡 instead of 牛虻 (niumeng) which indicates that he does not know the meaning of the title,SS00267,6,3,F,,,NULL,2019-11-09,MG,2019-11-25,MG
+++,A01461,P1022,AT52,PS00330,,1977,1977,,(Peace and War),SS00267,6,3,F,,,NULL,2019-11-09,MG,2019-11-25,MG
+++,A01462,P1022,AT52,PS00817,,1977,1977,,Title given by Song Baoqi: 新嫁车的词儿,SS00267,6,3,F,,,NULL,2019-11-09,MG,2019-11-25,MG
+++,A01463,P1022,AT05,PS00194,,1977,1977,,he has not read much of it,SS00267,6,3,F,'I turned some pages. I did not understand it.’ (SS00264 : p.102),,NULL,2019-11-09,MG,2019-11-25,MG
+++,A01464,P1022,AT48,PS00194,,1977,1977,,steals from a library in order to sell it,SS00267,6,3,F,in the end he and his friends did not sell it for fear of being found out,,NULL,2019-11-09,MG,2019-11-25,MG
+++,A01465,P1022,AT48,PS00466,,1977,1977,,steals from a library in order to sell it,SS00267,6,3,F,,,NULL,2019-11-09,MG,2019-11-28,MG
+++,A01466,P1022,AT48,PS00816,,1977,1977,,steals from a library in order to sell it,SS00267,6,3,F,,,NULL,2019-11-09,MG,2019-11-25,MG
+++,A01467,P1022,AT48,PS00330,,1977,1977,,steals from a library in order to sell it,SS00267,6,3,F,,,NULL,2019-11-09,MG,2019-11-25,MG
+++,A01468,P1020,AT49,PS00330,,1977,1977,,he wonders why the valuable books were locked away to begin with; he evaluates them as fragrant flowers not poisonous weeds,SS00267,6,3,F,,,NULL,2019-11-18,MG,2019-11-25,MG
+++,A01469,P1020,AT49,PS00816,,1977,1977,,he wonders why the valuable books were locked away to begin with; he evaluates them as fragrant flowers not poisonous weeds,SS00267,6,3,F,,,NULL,2019-11-18,MG,2019-11-25,MG
+++,A01470,P1020,AT49,PS00466,,1977,1977,,he wonders why the valuable books were locked away to begin with; he evaluates them as fragrant flowers not poisonous weeds,SS00267,6,3,F,,,NULL,2019-11-18,MG,2019-11-28,MG
+++,A01471,P1020,AT49,PS00194,,1977,1977,,he wonders why the valuable books were locked away to begin with; he evaluates them as fragrant flowers not poisonous weeds,SS00267,6,3,F,,,NULL,2019-11-18,MG,2019-11-25,MG
+++,A01472,P1022,AT53,PS09999,,1977,1977,,,SS00267,6,3,F,They draw moustaches into books as a competition / fortune telling device to see who would first find a girlfriend,,NULL,2019-11-18,MG,2019-11-25,MG
+++,A01473,P1022,AT49,PS00194,,1977,1977,,Also ascribes to the evaluation as pornographic of The Gadfly,SS00267,6,3,F,"'We shouldn’t have read this pornographic book’
'there was such a big gap between the good kids with good manners and nice qualities like Xie Huimin and the bad kids with bad personalities like Song Baoqi. But they happened to think the same when it came to firmly believing that The Gadfly was a pornographic book – furthermore both came to the “natural” conclusion without reading the book. What a shocking social phenomenon this was! Who caused it? Who?’ > Gang of Four > hatred of GoF
SS00264 : p.104",,NULL,2019-11-18,MG,2019-11-25,MG
+++,A01474,P1020,AT45,PS00813,,1977,1977,,,SS00267,6,3,F,Intertextual reference; unmarked: Save the children damaged by the Gang of Four (SS00264 : p.104) 球球被“四人帮”坑害的孩子！,,NULL,2019-11-18,MG,2019-11-25,MG
+++,A01475,P1020,AT05,PS00466,,1977,1977,,he intends to talk to his colleague about it,SS00267,8,3,F,,,NULL,2019-11-18,MG,2019-11-28,MG
+++,A01476,P1020,AT05,PS00194,,1977,1977,,he intends to talk to his colleague about it,SS00267,8,3,F,,,NULL,2019-11-18,MG,2019-11-25,MG
+++,A01477,P1020,AT58,PS09999,I0120,1977,1977,,Plans to hold guided reading activities to educate all students in the class (incl SBQ),SS00267,9,3,F,,,NULL,2019-11-18,MG,2019-12-05,MG
+++,A01478,P1020,AT54,PS09999,,1977,1977,,he turns against CR quotation practices,SS00267,9,3,F,He says: XHM ‘should not just study fragmented quotations and that she should not have blind faith in articles paraphrasing the leader’s thoughts but that she should earnestly study the original works and think independently’. SS00264 : p.114,,NULL,2019-11-22,MG,2019-11-25,MG
+++,A01479,P1020,AT60,PS00812,I0120,1977,1977,,,SS00267,9,3,F,,,NULL,2019-11-22,MG,2019-12-05,MG
+++,A01480,P1020,AT29,PS00812,,1977,1977,,he uses the book to explain big politics to his students,SS00267,9,3,F,In the end the girls won’t insist on boycotting the class,,NULL,2019-11-22,MG,2019-11-25,MG
+++,A01481,P1023,AT43,PS09999,,1977,1977,,any foreign books,SS00267,9,3,F,Has it been recommended in the newspapers?,,NULL,2019-11-22,MG,2019-11-25,MG
+++,A01482,P1023,AT43,PS00812,,1977,1977,,,SS00267,9,3,F,Has it been recommended in the newspapers?,,NULL,2019-11-22,MG,2019-11-25,MG
+++,A01483,P1021,AT40,PS00812,,1977,1977,,She and the girls want Teacher Zhang to analyse the book,SS00267,9,3,F,"May we read a book like this?
How could the little hooligan in the book make you feel angry and sympathetic at the same time?
Xie Huimin said that we are reading poisonous stuff. Could this book be called poison?
Compared to the little hooligan in the book; is [SBQ] better or words?",,NULL,2019-11-22,MG,2019-11-25,MG
+++,A01484,P1020,AT22,PS00812,,1977,1977,,,SS00267,9,3,F,,,NULL,2019-11-22,MG,2019-11-25,MG
+++,A01485,P1020,AT01,PS00812,,195x..196x,195x..196x,1,,SS00267,9,3,F,,,NULL,2019-11-22,MG,2019-11-25,MG
+++,A01486,P1021,AT55,PS00812,P0999,1977,1977,,to some of her classmates in order to educate them that it will be good to have SBQ in their class,SS00267,9,3,F,,,NULL,2019-11-22,MG,2019-11-25,MG
+++,A01487,P1027,AT56,PS09999,,195x..196x,195x..196x,1,Formed a very good habit in the past in studying the works,SS00267,9,3,F,unknown work by P0181,,NULL,2019-11-22,MG,2019-11-25,MG
+++,A01488,P1028,AT56,PS09999,,195x..196x,195x..196x,1,Formed a very good habit in the past in studying the works,SS00267,9,3,F,unknown work by P0181,,NULL,2019-11-22,MG,2019-11-25,MG
+++,A01489,P1027,AT56,PS09999,,195x..196x,195x..196x,1,Formed a very good habit in the past in studying the works,SS00267,9,3,F,unknown work by P0182,,NULL,2019-11-22,MG,2019-11-25,MG
+++,A01490,P1028,AT56,PS09999,,195x..196x,195x..196x,1,Formed a very good habit in the past in studying the works,SS00267,9,3,F,unknown work by P0182,,NULL,2019-11-22,MG,2019-11-25,MG
+++,A01491,P1027,AT56,PS09999,,195x..196x,195x..196x,1,Formed a very good habit in the past in studying the works,SS00267,9,3,F,unknown work by P0174,,NULL,2019-11-22,MG,2019-11-25,MG
+++,A01492,P1028,AT56,PS09999,,195x..196x,195x..196x,1,Formed a very good habit in the past in studying the works,SS00267,9,3,F,unknown work by P0174,,NULL,2019-11-22,MG,2019-11-25,MG
+++,A01493,P1027,AT56,PS09999,,195x..196x,195x..196x,1,Formed a very good habit in the past in studying the works,SS00267,9,3,F,unknown work by P0638,,NULL,2019-11-22,MG,2019-11-25,MG
+++,A01494,P1028,AT56,PS09999,,195x..196x,195x..196x,1,Formed a very good habit in the past in studying the works,SS00267,9,3,F,unknown work by P0638,,NULL,2019-11-22,MG,2019-11-25,MG
+++,A01495,P1027,AT01,PS00701,,1966..1976,1966..1976,2,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01496,P1028,AT01,PS00701,,1966..1976,1966..1976,2,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01497,P1021,AT01,PS00701,,1966..1976,1966..1976,1,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01498,P1027,AT01,PS00466,,1966..1976,1966..1976,2,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-28,MG
+++,A01499,P1028,AT01,PS00466,,1966..1976,1966..1976,2,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-28,MG
+++,A01500,P1000,AT01,PS00708,,1960?,1960?,,,SS00262,29,3,F,Zhenzhen mentions this as a childhood reading; time of narration is 1970 – 1960 is merely an educated guess,,NULL,2019-03-12,LH,2019-04-09,MG
+++,A01501,P1000,AT29,PS00709,,1970,1970,,Zhenzhen compares herself to one of the matches in the hands of the little match girl to allude to the fugitiveness of her phantasies,SS00262,29,3,F,Zhenzhen mentions this as a childhood reading; time of narration is 1970,,NULL,2019-03-12,LH,2019-04-09,MG
+++,A01502,P1001,AT05,PS00710,,1970,1970,,Lao Ga says that he understood the Ugly Ducking since he was a child,SS00262,67,3,F,Childhood reading,,NULL,2019-03-12,LH,2019-04-09,MG
+++,A01503,P1001,AT05,PS00708,,1970,1970,,"Lao Ga says that he understood the Ugly Ducking since he was a child, but only now understands the Little Mermaid story",SS00262,67,3,F,Childhood reading,,NULL,2019-03-12,LH,2019-04-09,MG
+++,A01600,P1027,AT01,PS00816,,1966..1976,1966..1976,2,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01601,P1028,AT01,PS00816,,1966..1976,1966..1976,2,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01602,P1021,AT01,PS00816,,1966..1976,1966..1976,1,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01603,P1027,AT01,PS00814,,1966..1976,1966..1976,2,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01604,P1028,AT01,PS00814,,1966..1976,1966..1976,2,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01605,P1021,AT01,PS00814,,1966..1976,1966..1976,1,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01606,P1027,AT01,PS00815,,1966..1976,1966..1976,2,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01610,P1028,AT01,PS00815,,1966..1976,1966..1976,2,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01611,P1021,AT01,PS00815,,1966..1976,1966..1976,1,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01612,P1027,AT01,PS00053,,1966..1976,1966..1976,2,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01613,P1028,AT01,PS00053,,1966..1976,1966..1976,2,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01614,P1021,AT01,PS00053,,1966..1976,1966..1976,1,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01615,P1027,AT01,PS00547,,1966..1976,1966..1976,2,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01616,P1028,AT01,PS00547,,1966..1976,1966..1976,2,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01617,P1021,AT01,PS00547,,1966..1976,1966..1976,1,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-25,MG
+++,A01618,P1021,AT01,PS00466,,1966..1976,1966..1976,1,,SS00267,9,3,F,they have the habit of lively academic exchange on readings etc. i.e. Shi Hong is widely read and an independent thinker,,NULL,2019-11-25,MG,2019-11-28,MG
+++,A01619,P1031,AT26,PS09999,,1930..1935~,1930..1935~,,he is fond of poetry,SS00600,33,3,F,G09,,NULL,2020-02-06,MG,2020-05-20,MG
+++,A01620,P1030,AT04,PS09999,,1930..1935~,1930..1935~,,She liked to study and was especially fond of works of literature that helped to develop her fertile imagination or gave her a vision of a splendid future,SS00600,12,3,F,,,NULL,2020-02-06,MG,2020-05-20,MG
+++,A01621,P1030,AT26,PS09999,,1930..1935~,1930..1935~,,she is fond of poetry,SS00600,33,3,F,G09,,NULL,2020-02-06,MG,2020-05-20,MG
+++,A01622,P1030,AT26,PS09999,,1930..1935~,1930..1935~,,She liked to study and was especially fond of works of literature that helped to develop her fertile imagination or gave her a vision of a splendid future,SS00600,12,3,F,,,NULL,2020-02-06,MG,2020-05-20,MG
+++,A01623,P1030,AT45,PS09999,,1930..1935~,1930..1935~,,,SS00600,41,3,F,implicit reference to unknown work by: P0356,,NULL,2020-02-06,MG,2020-05-20,MG
+++,A01624,P1030,AT21,Q0020,,1930..1935~,1930..1935~,,,SS00600,42,3,F,,,NULL,2020-02-06,MG,2020-05-20,MG
+++,A01625,P1031,AT59,PS00330,P1030,1930..1935~,1930..1935~,,,SS00600,43,3,F,,,NULL,2020-02-06,MG,2020-05-20,MG
+++,A01626,P1031,AT59,PS00236,P1030,1930..1935~,1930..1935~,,,SS00600,43,3,F,,,NULL,2020-02-06,MG,2020-05-20,MG
+++,A01627,P1031,AT59,PS00818,P1030,1930..1935~,1930..1935~,,,SS00600,43,3,F,,,NULL,2020-02-06,MG,2020-05-20,MG
+++,A01628,P1031,AT59,PS09999,P1030,1930..1935~,1930..1935~,,,SS00600,43,3,F,unknown work by: P1041; G09,,NULL,2020-02-06,MG,2020-05-20,MG
+++,A01629,P1031,AT59,PS09999,P1030,1930..1935~,1930..1935~,,,SS00600,43,3,F,unknown work by: P0656; G09,,NULL,2020-02-06,MG,2020-05-20,MG
+++,A01630,P1031,AT59,PS00077,P1030,1930..1935~,1930..1935~,,,SS00600,43,3,F,,,NULL,2020-02-06,MG,2020-05-20,MG
+++,A01631,P1031,AT59,PS00272,P1030,1930..1935~,1930..1935~,,,SS00600,43,3,F,,,NULL,2020-02-06,MG,2020-05-20,MG
+++,A01632,P1031,AT59,PS09999,P1030,1930..1935~,1930..1935~,,,SS00600,43,3,F,unknown work by: P0001,,NULL,2020-02-06,MG,2020-05-20,MG
+++,A01633,P1031,AT17,Q0012,,1930..1935~,1930..1935~,,,SS00600,43,3,F,,,NULL,2020-02-07,MG,2020-05-20,MG
+++,A01634,P1030,AT47,PS09999,,1930..1935~,1930..1935~,,she tells stories to children she teaches,SS00600,55,3,F,unknown work by: P1042,,NULL,2020-02-07,MG,2020-05-20,MG
+++,A01635,P1030,AT47,PS09999,,1930..1935~,1930..1935~,,she tells stories to children she teaches,SS00600,55,3,F,unknown work by: P1043,,NULL,2020-02-07,MG,2020-05-20,MG
+++,A01636,P1030,AT47,PS09999,,1930..1935~,1930..1935~,,she tells stories to children she teaches,SS00600,55,3,F,unknown work by: P1044,,NULL,2020-02-07,MG,2020-05-20,MG
+++,A01637,P1030,AT47,PS00824,,1930..1935~,1930..1935~,,she tells stories to children she teaches,SS00600,55,3,F,,,NULL,2020-02-07,MG,2020-05-20,MG
+++,A01638,P1030,AT47,PS00825,,1930..1935~,1930..1935~,,she tells stories to children she teaches,SS00600,55,3,F,,,NULL,2020-02-07,MG,2020-05-20,MG
