!,,,,,,,,+++,---,,,,---,---,,,+++,,,,
@@,act_id,agent,action,act_object,act_target,start,end,site_information,narrative_time,discussion,source,page,source_status,fictionality,commentary,note,id_lang,created,created_by,last_modified,last_modified_by
->,A00021,P0106->AG0103,AT01,PS09999->W0414,,1967,1967,,,Later the authors home was plundered as well and all of his collections were confiscated by the red guards.,SS00005->W0419,569,,,unknown work by: P0001 G28->unknown work by: AG0001 G28,,en,2017-07-28,LH,2018-04-10->2020-04-04,MG->DP
->,A00022,P0133->AG0118,AT01,PS00042->W0014,,1979,1979,,,The author read the poem of Baudelaire (Le Balcon 露台／阳台) at this time when so many foreign poems appeared again in public.,SS00154->W0476,533,,,,,en,2017-08-07,MG,2018-01-22->2020-04-04,MG->DP
->,A00023,P0133->AG0118,AT01,PS00041->W0013,,1984,1984,,,The author visited Chen Jingrong in a morning of the summer in 1984.  She showed him a collection of her translations from the 1960s. These Poems were once published on World Literature and   had influenced Bei Dao and other poets at that time.,SS00154->W0476,539,,,,,en,2017-08-08,MG,2018-01-12->2020-04-04,MG->DP
->,A00024,P0132->AG0117,AT11,PS00040->W0012,,1975,1980,,,The author started to translate these works,SS00043->W0430,454,,,,,en,2017-08-08,MG,2017-08-08->2020-04-04,MG->DP
->,A00025,P0106->AG0103,AT01,PS00040->W0012,,1968,1974,SP0055,,The author remembered that there was a worker whose surname was Zhu. He wrote many poems and mentioned these poets very often,SS00005->W0419,583,,,,,en,2017-08-08,MG,2017-08-11->2020-12-09,MG
->,A00026,P0017->AG0017,AT04,PS00040->W0012,,19XX,19XX,,,big influence,SS00009->W0422,220,,,,->read during rustication?,en,2017-08-11,MG,2018-01-22->2020-12-09,MG
->,A00027,P0134->AG0119,AT04,PS00040->W0012,,1973,1973,SP0025,,modernism such as Baudelaire influences the way he writes poetry,SS00045->W0432,291,,,,,en,2017-08-11,MG,2017-08-11->2020-12-09,MG
->,A00028,P0010->AG0010,AT01,PS00010->W0004,,1970..,1970..,SP0025,,This popular book at the time brought a new spirit to Beijing youth in the early 1970s.,SS00045->W0432,195,,,,,en,2017-08-20,MG,2019-08-21->2020-12-09,WH->MG
->,A00029,P0017->AG0017,AT04,PS00010->W0004,,1973~,1973~,SP0011,,states that Aksyonov has had a huge influence on the writing of many authors of the time including him or Wang Shuo 王朔,SS00009->W0422,219,,,,,en,2017-08-20,MG,2019-08-21->2020-12-09,WH->MG
->,A00030,P0002->AG0002,AT01,PS00050->W0015,,1962,1963,,,Its about a man left his father and devoted himself in dangerous work. The reader said it is similar to his situation.,SS00045->W0432,24,,,,,en,2017-08-20,MG,2017-10-02->2020-04-04,DP
->,A00031,P0021->AG0021,AT01,PS00050->W0015,,19XX,19XX,,,unknown,SS00045->W0432,24,,,,,en,2017-08-20,MG,2018-01-22->2020-04-04,MG->DP
->,A00032,P0022->AG0022,AT01,PS00050->W0015,,1962,1963,,,His favorite quote from the book is Either unknown or outstanding,SS00045->W0432,24,,,,,en,2017-08-20,MG,2017-08-20->2020-04-04,MG->DP
->,A00033,P0002->AG0002,AT01,PS00051->W0016,,1962,1963,,,unknown,SS00045->W0432,18,,,,,en,2017-08-20,MG,2018-01-22->2020-04-04,MG->DP
->,A00034,P0003->AG0003,AT01,PS00052->W0017,,1960,1965?,,,Channel of obtaining: the collection of writer 海默,SS00045->W0432,38,,,,,en,2017-08-25,MG,2018-01-23->2020-04-04,MG->DP
->,A00035,P0131->AG0116,AT01,PS00053->W0018,,19XX,19XX,,,Li Daxing had access to western works via his fathers friend Li Shu 黎澍,SS00153->W0475,555,,,,,en,2017-08-25,MG,2018-01-22->2020-04-04,MG->DP
->,A00036,P0106->AG0103,AT01,PS09999->W0414,,1967,1967,,,Later the authors home was plundered as well and all of his collections were confiscated by the red guards.,SS00005->W0419,569f,,,unknown work by: P0086->unknown work by: AG0084,,en,2017-08-25,MG,2018-07-30->2020-04-04,MG->DP
->,A00037,P0020->AG0020,AT01,PS00055->W0019,,1966,1970?,SP0003,,Gao Hua mentioned that the newspaper occasionally published the reports on Vietnam relationships with the Soviet Union Eastern Europe and Cuba. Gao Hua used to go to this bookstore (Nanjing Foreign Languages Bookstore) every week.,SS00006->W0420,135,,,,,en,2017-08-26,MG,2018-01-23->2020-12-09,MG
->,A00038,P0136->AG0121,AT21,PS00057->W0021,,1970,1970,SP0075,,when XXX one is reminded of the quote by Bai Juyi,SS00110->W0437,495,2,,,,en,2017-08-27,MG,2018-10-30->2020-12-09,MG
->,A00039,P0999->AG0626,AT20,AW00058->W0530,,1972,1972,SP0137,,Xu Haoyuan mentions that this play was staged by fellow zhiqing,SS00155->W0477,57,,,,,en,2017-08-27,MG,2018-02-09->2020-12-09,OS->MG
->,A00040,P0137->AG0122,AT04,AW09999->W0554,,19XX,19XX,,,The author and his friends knew about this painter from the Russian magazine 星火杂志.  They cherished this Romanian most.,SS00156->W0478,353,,,unknown work by: P0087 AF01->unknown work by: AG0085 AF01,,en,2017-08-31,MG,2018-08-03->2020-04-04,MG->DP
->,A00041,P0138->AG0123,AT01,AW09999->W0554,,1970,1976,,,During that time the music became popular again. Some pieces had survived through the early stage of the CR and they spread secretly among the people.,SS00111->W0438,196,,,unknown work by:  P0089 AF05->unknown work by: AG0087 AF05,,en,2017-08-31,MG,2018-08-03->2020-04-04,MG->DP
->,A00042,P0003->AG0003,AT01,I0002->W0414,->AG0628,1963,1964,,,In the home of Jiang Dingyue 蔣定粵s anonymous friend,SS00045->W0432,43,,,,,en,2017-08-31,MG,2018-01-22->2021-01-12,MG
->,A00043,P0029->AG0029,AT01,I0002->W0414,->AG0628,19XX,19XX,,,Wu Hong mentions that the same crowd that listened to the Beatles and read yellow-covered books during the socialist education movement and before the eve of the CR was also infatuated with post-impressionist modern art (印象派之后的现代艺). Obtained from private channels.,SS00029->W0428,119,,,,,en,2017-08-31,MG,2018-01-22->2020-04-04,MG->DP
->,A00044,P0140->AG0125,AT23,AW00106->W0552,,1978,1978,,,was very impressed,SS00157->W0479,74,,,,,en,2017-08-31,MG,2018-08-03->2020-04-04,MG->DP
->,A00045,P0040->AG0040,AT11,PS00059->W0022,,1969,1969,,,He worked on the translation of the book and before 1969 9th National Congress his home got raided again. The hundreds pages of translation became cigarette paper and were burned.,SS00061->W0433,ONLINE SOURCE,,,,,en,2017-09-06,CW,2018-01-16->2021-01-12,MG
->,A00046,P0009->AG0009,AT13,PS00062->W0024,,1976,1976,,,"After his younger sister had passed away, Bei Dao finished his novel Waves. He was so devastated, that he locked himself in and focused on reading and writing. ",SS00158->W0480,311,,,,,en,2017-09-06,MG,2018-02-08->2020-04-04,OS->DP
->,A00047,P0133->AG0118,AT02,PS00063->W0025,,1979,1979,,,Among other works they have copied The Answer by Bei Dao,SS00154->W0476,537,,,,->read during rustication?,en,2017-09-06,MG,2018-02-08->2020-12-09,OS->MG
->,A00048,P0018->AG0018,AT01,PS00064->W0026,,1975..1983,1975..1983,,,Yan Li and a friend (Mao Tou) were discussing some poems by Bei Dao,SS00158->W0480,312,,,Published in 1982 time of writing unkown.,Reframe with suitable ActType.,en,2017-09-06,MG,2018-02-12->2020-04-04,OS->DP
->,A00049,P0133->AG0118,AT02,PS00067->W0029,,1979,1979,,,unknown,SS00154->W0476,537,,,,,en,2017-09-08,MG,2018-01-22->2020-04-04,MG->DP
->,A00050,P0133->AG0118,AT02,PS00068->W0030,,1979,1979,,,unknown,SS00154->W0476,537,,,,,en,2017-09-08,MG,2018-01-22->2020-04-04,MG->DP
->,A00051,P0133->AG0118,AT02,PS00069->W0031,,1979,1979,,,unknown,SS00154->W0476,537,,,,,en,2017-09-13,MG,2018-01-22->2020-04-04,MG->DP
->,A00052,P0134->AG0119,AT02,PS00066->W0028,,1973,1973,SP0025,,copied from Jiang He 江河,SS00045->W0432,291,,,,,en,2017-09-13,MG,2017-09-13->2020-12-09,MG
->,A00053,P0134->AG0119,AT02,PS00065->W0027,,1973,1973,SP0025,,copied from Jiang He 江河,SS00045->W0432,291,,,,,en,2017-09-13,MG,2017-09-13->2020-12-09,MG
->,A00054,P0014->AG0014,AT02,PS00070->W0032,,1974~,1974~,,,Xu Xiao copied and hid it,SS00012->W0424,159-160,,,,,en,2017-09-15,MG,2018-02-09->2020-04-04,OS->DP
->,A00055,P0133->AG0118,AT13,PS00071->W0033,,1979,1979,,,This is the first poem of the author,SS00154->W0476,534,,,,,en,2017-09-20,MG,2018-01-12->2020-04-04,MG->DP
->,A00056,P0133->AG0118,AT13,PS00072->W0034,,1979,1979,,,The author was deeply influenced by Sylvia Plath in the beginning of his work as a poet,SS00154->W0476,536,,,,,en,2017-09-20,MG,2018-01-12->2020-04-04,MG->DP
->,A00057,P0144->AG0128,AT11,PS00073->W0035,,1966,1976,,,According to Wang Shiqiangs research this piece was one of the most influential yellow-covered books for the generation of pre-misty poets,SS00011->W0423,78,,,,,en,2017-09-20,MG,2018-11-12->2020-04-04,MG->DP
->,A00059,P0106->AG0103,AT05,PS00076->W0037,,1960,1980,,,Han ranks the work among the most influential books during the long 1970s,SS00005->W0419,580,,,,,en,2017-09-22,MG,2018-02-08->2020-04-04,OS->DP
->,A00060,P0153->AG0133,AT01,PS00077->W0038,,1966,1976,,,he wrote research of the Dream of the Red Chamber and was put on the hat of 牛鬼蛇神. In 1954 a campaign was launched to criticize his bourgeoise interpretation of the book.,SS00159->W0481,372,,,,,en,2017-09-22,MG,2018-01-12->2020-04-04,MG->DP
->,A00061,P0029->AG0029,AT01,PS00077->W0038,,19XX,19XX,,,He read it before his university studies and mentions that this book was one of the most-beloved and widely-read among his book friends.,SS00029->W0428,116-119,,,,,en,2017-09-22,MG,2018-01-22->2020-04-04,MG->DP
->,A00062,P0154->AG0134,AT01,PS00077->W0038,,19XX,19XX,,,He wanted the book so badly and it was really hard to have one. But he finally got one from the brother of one of his classmates and read it secretly.,SS00160->W0482,390,,,,,en,2017-09-22,MG,2018-01-22->2020-04-04,MG->DP
->,A00063,P0003->AG0003,AT01,PS00077->W0038,,1964,196X,,,unknown,SS00112->W0439,46,,,,,en,2017-09-22,MG,2018-01-22->2020-04-04,MG->DP
->,A00064,P0058->AG0057,AT01,PS00078->W0039,,1966,1967~,SP0005,,after reading Li Dazhao and other foreign and Chinese classics he still found Lu Xun the best,SS00027->W0427,ONLINE SOURCE,,,,,en,2017-09-24,CW,2018-01-22->2020-12-09,MG
->,A00065,P0003->AG0003,AT15,AW00079->W0531,,1961,196X,,,unknown,SS00045->W0432,32,,,,,en,2017-09-27,MG,2018-03-23->2020-04-04,MG->DP
->,A00066,P0068->AG0067,AT15,AW00079->W0531,,1961,196X,,,unknown,SS00045->W0432,32,,,,,en,2017-09-27,MG,2018-03-23->2020-04-04,MG->DP
->,A00067,P0003->AG0003,AT15,AW00080->W0532,,1961,196X,,,unknown,SS00045->W0432,38,,,,,en,2017-09-27,MG,2018-03-23->2020-04-04,MG->DP
->,A00068,P0068->AG0067,AT15,AW00080->W0532,,1961,196X,,,unknown,SS00045->W0432,38,,,,,en,2017-09-27,MG,2018-03-23->2020-04-04,MG->DP
->,A00069,P0003->AG0003,AT15,AW00081->W0533,,1961,196X,,,unknown,SS00045->W0432,38,,,,,en,2017-09-27,MG,2018-03-23->2020-04-04,MG->DP
->,A00070,P0068->AG0067,AT15,AW00081->W0533,,1961,196X,,,unknown,SS00045->W0432,38,,,,,en,2017-09-27,MG,2018-03-23->2020-04-04,MG->DP
->,A00071,P0132->AG0117,AT11,PS00082->W0040,,1975,1979,,,The author published some translated chapters of Charlie Chaplins autobiography on the magazine Foreign Films which was founded by Huang Tianmin,SS00043->W0430,455,,,,maybe we should reconsider the act type for this entry,en,2017-09-27,MG,2018-01-22->2020-04-04,MG->DP
->,A00072,P0109->AG0106,AT01,PS00083->W0041,,1970,1975,,,story-telling context: in her spare time Shu Ting tells this in her own words,SS00014->W0425,304,,,,->read during rustication?,en,2017-09-27,MG,2017-09-27->2020-12-09,MG
->,A00073,P0132->AG0117,AT13,PS00084->W0042,P0167->AG0144,1978,1978,,,Chen wrote this Poem for Mr. Yan Wenliang. The author first touched upon impressionism fine arts in Yan’s home at which he was totally impressed.,SS00043->W0430,452,,,,,en,2017-09-29,MG,2017-11-08->2020-04-04,MG->DP
->,A00074,P0020->AG0020,AT04,PS00085->W0043,,1970,1975,,,Rakhmetov the novels protagonist - as well as other idealistic heroes and pioneers of communist revolution - glistened his heart and mind. At the same time Gao Hua was on the one hand torn between Tsarist Russias occupation of China and Stalins hegemony toward China and on the other hand real socialism and Sino-Russian friendly relationships.,SS00006->W0420,134,,,,,en,2017-09-29,MG,2017-10-02->2020-04-04,DP
->,A00075,P0120->AG0114,AT01,Q0002->W0086,,19XX,19XX,,,Zhang found it in his uncles notebook,SS00030->W0429,52,,,,This quotation also appears verbatim in Zhang 1979: 186. Does Zhang 1979 equate to The Second Handshake?,en,2017-10-09,MG,2018-02-11->2020-04-04,OS->DP
->,A00076,P0031->AG0031,AT12,AW00090->W0542,,1969,1969,SP0002,,brought from outside into the prison and confiscated while sent into the prison,SS00109->W0436,ONLINE SOURCE,,,,,en,2017-10-09,MG,2017-04-25->2020-12-09,MG
->,A00077,P0029->AG0029,AT01,PS00106->W0061,,1964,1966,,,Wu Hong mentions that this book was one of the most-beloved and widely-read among his book friends.,SS00029->W0428,118f,,,,,en,2017-10-09,MG,2017-10-09->2020-04-04,MG->DP
->,A00078,P0130->AG0115,AT13,G15->W0414,,1967,1968,SP0156,,"Xu Chenggang wrote many letters to his former classmates at 清华附中 to discuss political theories revolving around Social theories, as he was influenced by Djilas’ The New Class and thought about a lot about an economical and political model, which would suit China. ",SS00149->W0471,422,,,,,en,2018-01-09,OS,2018-01-09->2020-12-09,OS->MG
->,A00079,P0999->AG0626,AT14,PS00059->W0022,,1969,1969,,,The book was destroyed before the 1969 9th National Congress as the translators home got raided and hundreds pages of translation became cigarette paper and were burned.,SS00061->W0433,ONLINE SOURCE,,,,,en,2017-11-07,CW,2017-11-07->2020-04-04,CW->DP
->,A00080,P0011->AG0011,AT03,PS00121->W0063,P0005->AG0005,19XX,19XX,,,huge influence on P0005 led her to the way of individualistic freedom and the rejection of societal pressure->huge influence on AG0005 led her to the way of individualistic freedom and the rejection of societal pressure,SS00011->W0423,79,,,,,en,2017-12-14,MG,2018-01-22->2021-01-12,MG
->,A00081,P0005->AG0005,AT19,PS00122->W0064,P0009->AG0009,1974,1974,,,Peng took it as a romantic story with a tragic ending. Still it had a strong political inclination as the protagonist was willing to die for the right cause. Peng declares to Bei Dao that he would like to be like the hero of the story and also devote his life to a democracy movement. However when Bei Dao later reminds him of this he has changed. Art is finally more important than politics to him.,SS00115->W0442,191,,,,,en,2017-12-14,MG,2017-12-14->2020-04-04,MG->DP
->,A00082,P0003->AG0003,AT02,PS00121->W0063,,19XX,19XX,,,copied half of the book by hand,SS00011->W0423,75f 79f,,,,,en,2017-12-17,MG,2018-01-22->2020-04-04,MG->DP
->,A00083,P0062->AG0061,AT01,PS00095->W0052,,1969,1970,SP0002,,she got more self-confident and learned how to analyse the political occurrences of her past by reading the texts,SS00113->W0440,461,,,,,en,2017-12-17,MG,2018-01-22->2020-12-09,MG
->,A00084,P0062->AG0061,AT01,PS00093->W0050,,1969,1970,SP0002,,she got more self-confident and learned how to analyse the political occurrences of her past by reading the texts,SS00113->W0440,461,,,,,en,2017-12-17,MG,2018-01-22->2020-12-09,MG
->,A00085,P0074->AG0073,AT16,PS00125->W0065,,1964~,1967~,,,encouraged her interest in science,SS00123->W0448,92,,,,,en,2017-12-17,MG,2018-01-22->2020-04-04,MG->DP
->,A00086,P0074->AG0073,AT16,PS00126->W0066,,1964~,1967~,,,one of her favorite books,SS00123->W0448,92,,,,,en,2017-12-17,MG,2018-01-22->2020-04-04,MG->DP
->,A00087,P0020->AG0020,AT04,PS00015->W0006,,1966,1976,,,Gao Hua mentions that during the turmoil years of CR when as a son of heiwulei (five black categories) he has been living in the bottom of the society he received supercilious looks and was discriminated against. During these hard times My Apprenticeship and My Universities by Gorky became his spiritual guides.,SS00006->W0420,133,,,,,en,2018-02-08,OS,2018-02-08->2020-04-04,OS->DP
->,A00088,P0139->AG0124,AT05,PS00056->W0020,,1966,1976,,,Xiao Xiao mentions it as one of the most important neibu books of the CR,SS00152->W0474,7,,,,,en,2018-02-08,OS,2018-02-08->2020-04-04,OS->DP
->,A00089,P0139->AG0124,AT05,PS00060->W0023,,1966,1976,,,Xiao Xiao mentions it as one of the most important neibu books of the CR,SS00152->W0474,8,,,,,en,2018-02-08,OS,2018-02-08->2020-04-04,OS->DP
->,A00090,P0107->AG0104,AT05,PS00064->W0026,,1966,1976,,,According to Wang Shiqiangs research this piece was one of the most important yellow-covered neibeu books of the CR,SS00011->W0423,78,,,,,en,2018-02-08,OS,2018-02-08->2020-04-04,OS->DP
->,A00091,P0107->AG0104,AT05,PS00024->W0009,,1966,1976,,,According to Wang Shiqiangs research this piece was one of the most important yellow-covered neibu books of the CR,SS00011->W0423,78,,,,,en,2018-02-08,OS,2018-02-08->2020-04-04,OS->DP
->,A00092,P0107->AG0104,AT05,PS00023->W0008,,1966,1976,,,According to Wang Shiqiangs research this piece was one of the most important yellow-covered neibu books of the CR,SS00011->W0423,78,,,,,en,2018-02-08,OS,2018-02-08->2020-04-04,OS->DP
->,A00093,P0106->AG0103,AT05,PS00076->W0037,,1966,1976,,,Han Shaogong mentions it as one of the most important neibu books of the CR,SS00005->W0419,580,,,,,en,2018-02-08,OS,2018-02-08->2020-04-04,OS->DP
->,A00094,P0107->AG0104,AT05,PS00010->W0004,,1966,1976,,,According to Wang Shiqiangs research this piece was one of the most important yellow-covered neibu books of the CR,SS00011->W0423,78,,,,,en,2018-02-08,OS,2018-02-08->2020-04-04,OS->DP
->,A00095,P0150->AG0130,AT05,PS00074->W0036,,1966,1976,,,"""Perry Link mentions that Jane Eyre """"became well known and an intensely sought prize during the Cultural Revolution when Jiang Qing listed it with seven other works as highly recommended reading."""" This explains the post-CR success of the book. """,SS00075->W0434,170,,,,,en,2018-02-08,OS,2018-02-08->2020-04-04,OS->DP
->,A00096,P0180->AG0156,AT05,PS00102->W0059,,1966,1976,,,Song Yongyi mentions it as one of the most important grey-covered books during the CR,SS00108->W0435,327,,,,,en,2018-02-08,OS,2018-02-08->2020-04-04,OS->DP
->,A00097,P0150->AG0130,AT05,PS00107->W0062,,1966,1976,,,"""Perry Link mentions that A Tale of Two Cities """"became well known and an intensely sought prize during the Cultural Revolution when Jiang Qing listed it with seven other works as highly recommended reading."""" This explains the post-CR success of the book. """,SS00075->W0434,170,,,,,en,2018-02-08,OS,2018-02-08->2020-04-04,OS->DP
->,A00098,P0107->AG0104,AT05,PS00121->W0063,,1966,1976,,,According to Wang Shiqiangs research this piece was one of the most important yellow-covered neibu books of the CR,SS00011->W0423,79,,,,,en,2018-02-08,OS,2018-02-08->2020-04-04,OS->DP
->,A00099,P0108->AG0105,AT16,PS00105->W0060,,1974~,1974~,,,Xu read it when being 20 years old and cried like a child. She states that no 20-year-old could read it without being completely stunned. She acted differently so that the boss of (her parents) danwei came along and checked for her. He found the book and scolded her and adviced to rather read 欧阳海之歌 or The Golden Road by Hao Ran. Thereafter she was marked as somebody with inclinations to a petty-capitalist life-style.,SS00045->W0432,159,2,,,,en,2018-02-08,OS,2018-02-08->2020-04-04,OS->DP
->,A00147,P0009->AG0009,AT01,PS00181->W0070,,1962,1965,,,The most influential work for Bei Dao are by Ehrenburg and he read this piece many times. It opened a window to a world so different from his real life. It seems not that good to him now. But at those times it served as a guidebook for 'searching' young people and gave them an ability to dream.,SS00011->W0423,88,,,,,en,2018-01-23,OS,2018-06-22->2020-04-04,DP
->,A00148,P0003->AG0003,AT03,PS00184->W0073,P0999->AG0626,1968?,1968?,,,Zhang Langlang gave that poem to some students from Beijing to read and memorize,SS00185->W0486,112,,,,,en,2018-01-24,OS,2018-01-24->2020-04-04,OS->DP
->,A00149,P0120->AG0114,AT01,PS00186->W0074,,1971,1976?,SP0002,,Zhang Yang read it in prison after the Lin Biao incident,SS00030->W0429,110ff,,,,,en,2018-01-25,OS,2018-01-25->2020-12-09,OS->MG
->,A00150,P0120->AG0114,AT01,PS00187->W0075,,1971,1976?,SP0002,,Zhang Yang read it in prison after the Lin Biao incident,SS00030->W0429,110ff,,,,,en,2018-01-25,OS,2018-01-25->2020-12-09,OS->MG
->,A00151,P0999->AG0626,AT03,PS00187->W0075,P0120->AG0114,1971?,1976?,SP0002,,Several Books were sent to him when he was in prison,SS00030->W0429,435,,,,,en,2018-01-25,OS,2018-01-25->2020-12-09,OS->MG
->,A00152,P0999->AG0626,AT03,PS00188->W0076,P0120->AG0114,1971?,1976?,SP0002,,Several Books were sent to him when he was in prison,SS00030->W0429,435,,,,,en,2018-01-25,OS,2018-01-25->2020-12-09,OS->MG
->,A00153,P0009->AG0009,AT01,PS00186->W0074,,1971,1971,,,Bei Dao mentioned that he had read the book in 1971,SS00189->W0487,33,,,,,en,2018-01-25,OS,2018-01-25->2020-04-04,OS->DP
->,A00154,P0219->AG0195,AT01,PS00188->W0076,,1968,1972,,,This book was the initiation of his history study.,SS00190->W0488,258-259,,,,,en,2018-01-25,OS,2018-01-25->2020-04-04,OS->DP
->,A00155,P0999->AG0626,AT14,PS00191->W0077,,1966,1966,,,This book in a precious editon was left in the house by Qian Dachuans maternal grandfather and later found by Red Guards and destroyed.,SS00192->W0489,ONLINE SOURCE,2,,,,en,2018-02-01,OS,2018-08-03->2021-01-12,MG
->,A00156,P0221->AG0197,AT01,PS09999->W0414,,1962?,1970?,,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,SS00170->W0490,249,2,,unknown work by: P0098 G24->unknown work by: AG0096 G24,very likely that for the 1960s books by this author refer to a neibu publication,en,2018-02-01,OS,2018-04-10->2020-04-04,MG->DP
