!,,,,,,,,+++,+++,---,---,,,+++,+++,,,---,,,,
@@,act_id,agent,action,act_object,act_target,start,end,narrative_time,substantial_discussion,site_information,discussion,source,page,source_status,fictionality,commentary,note,id_lang,created,created_by,last_modified,last_modified_by
->,A00016,AG0057->P0058,AT04,W0010->PS00025,,1966~->19XX,1966~->19XX,,He came up with the idea of editing quotations of Lu Xun after reading Letters between two,SP0005,He came up with the idea of editing quotations of Lu Xun after reading Letters between two,W0427->SS00027,ONLINE SOURCE,,,,,en,2017-07-27,LH,2020-03-11->2018-01-22,MG
->,A00017,AG0114->P0120,AT04,W0414->PS09999,,19XX,19XX,,Lu Xun as his most important literary inspiration,,Lu Xun as his most important literary inspiration,W0429->SS00030,79,,,unknown work by: AG0001->unknown work by: P0001,LENA; childhood reading->LENA,en,2017-08-01,LH,2021-03-11->2018-09-23,MG
->,A00018,AG0029->P0029,AT09,W0011->PS00028,,1966,1969,,During the early period of the CR Wu was transferred from one place to another for investigation. He found a shouchaoben copy signed Lu Xun there and memorized the entire collection. He was transferred to the Film Academy (still under arrest) where he put Lu Xuns collection on paper. The copy was found and confiscated by the supervisor.,SP0008,During the early period of the CR Wu was transferred from one place to another for investigation. He found a shouchaoben copy signed Lu Xun there and memorized the entire collection. He was transferred to the Film Academy (still under arrest) where he put Lu Xuns collection on paper. The copy was found and confiscated by the supervisor.,W0428->SS00029,121,,,,,en,2017-07-28,LH,2020-12-09->2018-01-25,MG
->,A00019,AG0114->P0120,AT01,W0414->PS09999,,1954,1956,,for the next two years he read many texts by Lu Xun especially his essays.,,for the next two years he read many texts by Lu Xun especially his essays.,W0429->SS00030,57,,,unknown work by: AG0001 G28->unknown work by: P0001 G28,,en,2017-07-28,LH,2020-04-04->2018-04-10,DP->MG
->,A00020,AG0114->P0120,AT10,W0067->PS00164,,1967,1967,,in 1967 he compiled 鲁迅语录 not for publications but for his friends,SP0113,in 1967 he compiled 鲁迅语录 not for publications but for his friends,W0429->SS00030,21,,,,,en,2017-07-28,LH,2020-12-09->2018-01-29,MG
->,A00021,AG0103->P0106,AT01,W0414->PS09999,,1967,1967,,Later the authors home was plundered as well and all of his collections were confiscated by the red guards.,,Later the authors home was plundered as well and all of his collections were confiscated by the red guards.,W0419->SS00005,569,,,unknown work by: AG0001 G28->unknown work by: P0001 G28,,en,2017-07-28,LH,2020-04-04->2018-04-10,DP->MG
->,A00022,AG0118->P0133,AT01,W0014->PS00042,,1979,1979,,The author read the poem of Baudelaire (Le Balcon 露台／阳台) at this time when so many foreign poems appeared again in public.,,The author read the poem of Baudelaire (Le Balcon 露台／阳台) at this time when so many foreign poems appeared again in public.,W0476->SS00154,533,,,,,en,2017-08-07,MG,2020-04-04->2018-01-22,DP->MG
->,A00023,AG0118->P0133,AT01,W0013->PS00041,,1984,1984,,The author visited Chen Jingrong in a morning of the summer in 1984.  She showed him a collection of her translations from the 1960s. These Poems were once published on World Literature and   had influenced Bei Dao and other poets at that time.,,The author visited Chen Jingrong in a morning of the summer in 1984.  She showed him a collection of her translations from the 1960s. These Poems were once published on World Literature and   had influenced Bei Dao and other poets at that time.,W0476->SS00154,539,,,,,en,2017-08-08,MG,2020-04-04->2018-01-12,DP->MG
->,A00024,AG0117->P0132,AT11,W0012->PS00040,,1975,1980,,The author started to translate these works,,The author started to translate these works,W0430->SS00043,454,,,,,en,2017-08-08,MG,2020-04-04->2017-08-08,DP->MG
->,A00025,AG0103->P0106,AT01,W0012->PS00040,,1968,1974,,The author remembered that there was a worker whose surname was Zhu. He wrote many poems and mentioned these poets very often,SP0055,The author remembered that there was a worker whose surname was Zhu. He wrote many poems and mentioned these poets very often,W0419->SS00005,583,,,,,en,2017-08-08,MG,2020-12-09->2017-08-11,MG
->,A00026,AG0017->P0017,AT04,W0012->PS00040,,19XX,19XX,,big influence,,big influence,W0422->SS00009,220,,,,read during rustication?->,en,2017-08-11,MG,2020-12-09->2018-01-22,MG
->,A00027,AG0119->P0134,AT04,W0012->PS00040,,1973,1973,,modernism such as Baudelaire influences the way he writes poetry,SP0025,modernism such as Baudelaire influences the way he writes poetry,W0432->SS00045,291,,,,,en,2017-08-11,MG,2020-12-09->2017-08-11,MG
->,A00028,AG0010->P0010,AT01,W0004->PS00010,,1970..,1970..,,This popular book at the time brought a new spirit to Beijing youth in the early 1970s.,SP0025,This popular book at the time brought a new spirit to Beijing youth in the early 1970s.,W0432->SS00045,195,,,,,en,2017-08-20,MG,2020-12-09->2019-08-21,MG->WH
->,A00029,AG0017->P0017,AT04,W0004->PS00010,,1973~,1973~,,states that Aksyonov has had a huge influence on the writing of many authors of the time including him or Wang Shuo 王朔,SP0011,states that Aksyonov has had a huge influence on the writing of many authors of the time including him or Wang Shuo 王朔,W0422->SS00009,219,,,,,en,2017-08-20,MG,2020-12-09->2019-08-21,MG->WH
->,A00030,AG0002->P0002,AT01,W0015->PS00050,,1962,1963,,Its about a man left his father and devoted himself in dangerous work. The reader said it is similar to his situation.,,Its about a man left his father and devoted himself in dangerous work. The reader said it is similar to his situation.,W0432->SS00045,24,,,,,en,2017-08-20,MG,2020-04-04->2017-10-02,DP
->,A00031,AG0021->P0021,AT01,W0015->PS00050,,19XX,19XX,,unknown,,unknown,W0432->SS00045,24,,,,,en,2017-08-20,MG,2020-04-04->2018-01-22,DP->MG
->,A00032,AG0022->P0022,AT01,W0015->PS00050,,1962,1963,,His favorite quote from the book is Either unknown or outstanding,,His favorite quote from the book is Either unknown or outstanding,W0432->SS00045,24,,,,,en,2017-08-20,MG,2020-04-04->2017-08-20,DP->MG
->,A00033,AG0002->P0002,AT01,W0016->PS00051,,1962,1963,,unknown,,unknown,W0432->SS00045,18,,,,,en,2017-08-20,MG,2020-04-04->2018-01-22,DP->MG
->,A00034,AG0003->P0003,AT01,W0017->PS00052,,1960,1965?,,Channel of obtaining: the collection of writer 海默,,Channel of obtaining: the collection of writer 海默,W0432->SS00045,38,,,,,en,2017-08-25,MG,2020-04-04->2018-01-23,DP->MG
->,A00035,AG0116->P0131,AT01,W0018->PS00053,,19XX,19XX,,Li Daxing had access to western works via his fathers friend Li Shu 黎澍,,Li Daxing had access to western works via his fathers friend Li Shu 黎澍,W0475->SS00153,555,,,,,en,2017-08-25,MG,2020-04-04->2018-01-22,DP->MG
->,A00036,AG0103->P0106,AT01,W0414->PS09999,,1967,1967,,Later the authors home was plundered as well and all of his collections were confiscated by the red guards.,,Later the authors home was plundered as well and all of his collections were confiscated by the red guards.,W0419->SS00005,569f,,,unknown work by: AG0084->unknown work by: P0086,,en,2017-08-25,MG,2020-04-04->2018-07-30,DP->MG
->,A00037,AG0020->P0020,AT01,W0019->PS00055,,1966,1970?,,Gao Hua mentioned that the newspaper occasionally published the reports on Vietnam relationships with the Soviet Union Eastern Europe and Cuba. Gao Hua used to go to this bookstore (Nanjing Foreign Languages Bookstore) every week.,SP0003,Gao Hua mentioned that the newspaper occasionally published the reports on Vietnam relationships with the Soviet Union Eastern Europe and Cuba. Gao Hua used to go to this bookstore (Nanjing Foreign Languages Bookstore) every week.,W0420->SS00006,135,,,,,en,2017-08-26,MG,2020-12-09->2018-01-23,MG
->,A00038,AG0121->P0136,AT21,W0021->PS00057,,1970,1970,,when XXX one is reminded of the quote by Bai Juyi,SP0075,when XXX one is reminded of the quote by Bai Juyi,W0437->SS00110,495,2,,,,en,2017-08-27,MG,2020-12-09->2018-10-30,MG
->,A00039,AG0626->P0999,AT20,W0530->AW00058,,1972,1972,,Xu Haoyuan mentions that this play was staged by fellow zhiqing,SP0137,Xu Haoyuan mentions that this play was staged by fellow zhiqing,W0477->SS00155,57,,,,,en,2017-08-27,MG,2020-12-09->2018-02-09,MG->OS
->,A00040,AG0122->P0137,AT04,W0554->AW09999,,19XX,19XX,,The author and his friends knew about this painter from the Russian magazine 星火杂志.  They cherished this Romanian most.,,The author and his friends knew about this painter from the Russian magazine 星火杂志.  They cherished this Romanian most.,W0478->SS00156,353,,,unknown work by: AG0085 AF01->unknown work by: P0087 AF01,,en,2017-08-31,MG,2020-04-04->2018-08-03,DP->MG
->,A00041,AG0123->P0138,AT01,W0554->AW09999,,1970,1976,,During that time the music became popular again. Some pieces had survived through the early stage of the CR and they spread secretly among the people.,,During that time the music became popular again. Some pieces had survived through the early stage of the CR and they spread secretly among the people.,W0438->SS00111,196,,,unknown work by: AG0087 AF05->unknown work by:  P0089 AF05,,en,2017-08-31,MG,2020-04-04->2018-08-03,DP->MG
->,A00042,AG0003->P0003,AT01,W0414->I0002,AG0628->,1963,1964,,In the home of Jiang Dingyue 蔣定粵s anonymous friend,,In the home of Jiang Dingyue 蔣定粵s anonymous friend,W0432->SS00045,43,,,,,en,2017-08-31,MG,2021-01-12->2018-01-22,MG
->,A00043,AG0029->P0029,AT01,W0414->I0002,AG0628->,19XX,19XX,,Wu Hong mentions that the same crowd that listened to the Beatles and read yellow-covered books during the socialist education movement and before the eve of the CR was also infatuated with post-impressionist modern art (印象派之后的现代艺). Obtained from private channels.,,Wu Hong mentions that the same crowd that listened to the Beatles and read yellow-covered books during the socialist education movement and before the eve of the CR was also infatuated with post-impressionist modern art (印象派之后的现代艺). Obtained from private channels.,W0428->SS00029,119,,,,,en,2017-08-31,MG,2020-04-04->2018-01-22,DP->MG
->,A00044,AG0125->P0140,AT23,W0552->AW00106,,1978,1978,,was very impressed,,was very impressed,W0479->SS00157,74,,,,,en,2017-08-31,MG,2020-04-04->2018-08-03,DP->MG
->,A00045,AG0040->P0040,AT11,W0022->PS00059,,1969,1969,,He worked on the translation of the book and before 1969 9th National Congress his home got raided again. The hundreds pages of translation became cigarette paper and were burned.,,He worked on the translation of the book and before 1969 9th National Congress his home got raided again. The hundreds pages of translation became cigarette paper and were burned.,W0433->SS00061,ONLINE SOURCE,,,,,en,2017-09-06,CW,2021-01-12->2018-01-16,MG
->,A00046,AG0009->P0009,AT13,W0024->PS00062,,1976,1976,,"After his younger sister had passed away, Bei Dao finished his novel Waves. He was so devastated, that he locked himself in and focused on reading and writing. ",,"After his younger sister had passed away, Bei Dao finished his novel Waves. He was so devastated, that he locked himself in and focused on reading and writing. ",W0480->SS00158,311,,,,,en,2017-09-06,MG,2020-04-04->2018-02-08,DP->OS
->,A00047,AG0118->P0133,AT02,W0025->PS00063,,1979,1979,,Among other works they have copied The Answer by Bei Dao,,Among other works they have copied The Answer by Bei Dao,W0476->SS00154,537,,,,read during rustication?->,en,2017-09-06,MG,2020-12-09->2018-02-08,MG->OS
->,A00048,AG0018->P0018,AT01,W0026->PS00064,,1975..1983,1975..1983,,Yan Li and a friend (Mao Tou) were discussing some poems by Bei Dao,,Yan Li and a friend (Mao Tou) were discussing some poems by Bei Dao,W0480->SS00158,312,,,Published in 1982 time of writing unkown.,Reframe with suitable ActType.,en,2017-09-06,MG,2020-04-04->2018-02-12,DP->OS
->,A00049,AG0118->P0133,AT02,W0029->PS00067,,1979,1979,,unknown,,unknown,W0476->SS00154,537,,,,,en,2017-09-08,MG,2020-04-04->2018-01-22,DP->MG
->,A00050,AG0118->P0133,AT02,W0030->PS00068,,1979,1979,,unknown,,unknown,W0476->SS00154,537,,,,,en,2017-09-08,MG,2020-04-04->2018-01-22,DP->MG
->,A00051,AG0118->P0133,AT02,W0031->PS00069,,1979,1979,,unknown,,unknown,W0476->SS00154,537,,,,,en,2017-09-13,MG,2020-04-04->2018-01-22,DP->MG
->,A00052,AG0119->P0134,AT02,W0028->PS00066,,1973,1973,,copied from Jiang He 江河,SP0025,copied from Jiang He 江河,W0432->SS00045,291,,,,,en,2017-09-13,MG,2020-12-09->2017-09-13,MG
->,A00053,AG0119->P0134,AT02,W0027->PS00065,,1973,1973,,copied from Jiang He 江河,SP0025,copied from Jiang He 江河,W0432->SS00045,291,,,,,en,2017-09-13,MG,2020-12-09->2017-09-13,MG
->,A00054,AG0014->P0014,AT02,W0032->PS00070,,1974~,1974~,,Xu Xiao copied and hid it,,Xu Xiao copied and hid it,W0424->SS00012,159-160,,,,,en,2017-09-15,MG,2020-04-04->2018-02-09,DP->OS
->,A00055,AG0118->P0133,AT13,W0033->PS00071,,1979,1979,,This is the first poem of the author,,This is the first poem of the author,W0476->SS00154,534,,,,,en,2017-09-20,MG,2020-04-04->2018-01-12,DP->MG
->,A00056,AG0118->P0133,AT13,W0034->PS00072,,1979,1979,,The author was deeply influenced by Sylvia Plath in the beginning of his work as a poet,,The author was deeply influenced by Sylvia Plath in the beginning of his work as a poet,W0476->SS00154,536,,,,,en,2017-09-20,MG,2020-04-04->2018-01-12,DP->MG
->,A00057,AG0128->P0144,AT11,W0035->PS00073,,1966,1976,,According to Wang Shiqiangs research this piece was one of the most influential yellow-covered books for the generation of pre-misty poets,,According to Wang Shiqiangs research this piece was one of the most influential yellow-covered books for the generation of pre-misty poets,W0423->SS00011,78,,,,,en,2017-09-20,MG,2020-04-04->2018-11-12,DP->MG
->,A00059,AG0103->P0106,AT05,W0037->PS00076,,1960,1980,,Han ranks the work among the most influential books during the long 1970s,,Han ranks the work among the most influential books during the long 1970s,W0419->SS00005,580,,,,,en,2017-09-22,MG,2020-04-04->2018-02-08,DP->OS
->,A00060,AG0133->P0153,AT01,W0038->PS00077,,1966,1976,,he wrote research of the Dream of the Red Chamber and was put on the hat of 牛鬼蛇神. In 1954 a campaign was launched to criticize his bourgeoise interpretation of the book.,,he wrote research of the Dream of the Red Chamber and was put on the hat of 牛鬼蛇神. In 1954 a campaign was launched to criticize his bourgeoise interpretation of the book.,W0481->SS00159,372,,,,,en,2017-09-22,MG,2020-04-04->2018-01-12,DP->MG
->,A00061,AG0029->P0029,AT01,W0038->PS00077,,19XX,19XX,,He read it before his university studies and mentions that this book was one of the most-beloved and widely-read among his book friends.,,He read it before his university studies and mentions that this book was one of the most-beloved and widely-read among his book friends.,W0428->SS00029,116-119,,,,,en,2017-09-22,MG,2020-04-04->2018-01-22,DP->MG
->,A00062,AG0134->P0154,AT01,W0038->PS00077,,19XX,19XX,,He wanted the book so badly and it was really hard to have one. But he finally got one from the brother of one of his classmates and read it secretly.,,He wanted the book so badly and it was really hard to have one. But he finally got one from the brother of one of his classmates and read it secretly.,W0482->SS00160,390,,,,,en,2017-09-22,MG,2020-04-04->2018-01-22,DP->MG
->,A00063,AG0003->P0003,AT01,W0038->PS00077,,1964,196X,,unknown,,unknown,W0439->SS00112,46,,,,,en,2017-09-22,MG,2020-04-04->2018-01-22,DP->MG
->,A00064,AG0057->P0058,AT01,W0039->PS00078,,1966,1967~,,after reading Li Dazhao and other foreign and Chinese classics he still found Lu Xun the best,SP0005,after reading Li Dazhao and other foreign and Chinese classics he still found Lu Xun the best,W0427->SS00027,ONLINE SOURCE,,,,,en,2017-09-24,CW,2020-12-09->2018-01-22,MG
->,A00065,AG0003->P0003,AT15,W0531->AW00079,,1961,196X,,unknown,,unknown,W0432->SS00045,32,,,,,en,2017-09-27,MG,2020-04-04->2018-03-23,DP->MG
->,A00066,AG0067->P0068,AT15,W0531->AW00079,,1961,196X,,unknown,,unknown,W0432->SS00045,32,,,,,en,2017-09-27,MG,2020-04-04->2018-03-23,DP->MG
->,A00067,AG0003->P0003,AT15,W0532->AW00080,,1961,196X,,unknown,,unknown,W0432->SS00045,38,,,,,en,2017-09-27,MG,2020-04-04->2018-03-23,DP->MG
->,A00068,AG0067->P0068,AT15,W0532->AW00080,,1961,196X,,unknown,,unknown,W0432->SS00045,38,,,,,en,2017-09-27,MG,2020-04-04->2018-03-23,DP->MG
->,A00069,AG0003->P0003,AT15,W0533->AW00081,,1961,196X,,unknown,,unknown,W0432->SS00045,38,,,,,en,2017-09-27,MG,2020-04-04->2018-03-23,DP->MG
->,A00070,AG0067->P0068,AT15,W0533->AW00081,,1961,196X,,unknown,,unknown,W0432->SS00045,38,,,,,en,2017-09-27,MG,2020-04-04->2018-03-23,DP->MG
->,A00071,AG0117->P0132,AT11,W0040->PS00082,,1975,1979,,The author published some translated chapters of Charlie Chaplins autobiography on the magazine Foreign Films which was founded by Huang Tianmin,,The author published some translated chapters of Charlie Chaplins autobiography on the magazine Foreign Films which was founded by Huang Tianmin,W0430->SS00043,455,,,,maybe we should reconsider the act type for this entry,en,2017-09-27,MG,2020-04-04->2018-01-22,DP->MG
->,A00072,AG0106->P0109,AT01,W0041->PS00083,,1970,1975,,story-telling context: in her spare time Shu Ting tells this in her own words,,story-telling context: in her spare time Shu Ting tells this in her own words,W0425->SS00014,304,,,,read during rustication?->,en,2017-09-27,MG,2020-12-09->2017-09-27,MG
->,A00073,AG0117->P0132,AT13,W0042->PS00084,AG0144->P0167,1978,1978,,Chen wrote this Poem for Mr. Yan Wenliang. The author first touched upon impressionism fine arts in Yan’s home at which he was totally impressed.,,Chen wrote this Poem for Mr. Yan Wenliang. The author first touched upon impressionism fine arts in Yan’s home at which he was totally impressed.,W0430->SS00043,452,,,,,en,2017-09-29,MG,2020-04-04->2017-11-08,DP->MG
->,A00074,AG0020->P0020,AT04,W0043->PS00085,,1970,1975,,Rakhmetov the novels protagonist - as well as other idealistic heroes and pioneers of communist revolution - glistened his heart and mind. At the same time Gao Hua was on the one hand torn between Tsarist Russias occupation of China and Stalins hegemony toward China and on the other hand real socialism and Sino-Russian friendly relationships.,,Rakhmetov the novels protagonist - as well as other idealistic heroes and pioneers of communist revolution - glistened his heart and mind. At the same time Gao Hua was on the one hand torn between Tsarist Russias occupation of China and Stalins hegemony toward China and on the other hand real socialism and Sino-Russian friendly relationships.,W0420->SS00006,134,,,,,en,2017-09-29,MG,2020-04-04->2017-10-02,DP
->,A00075,AG0114->P0120,AT01,W0086->Q0002,,19XX,19XX,,Zhang found it in his uncles notebook,,Zhang found it in his uncles notebook,W0429->SS00030,52,,,,This quotation also appears verbatim in Zhang 1979: 186. Does Zhang 1979 equate to The Second Handshake?,en,2017-10-09,MG,2020-04-04->2018-02-11,DP->OS
->,A00076,AG0031->P0031,AT12,W0542->AW00090,,1969,1969,,brought from outside into the prison and confiscated while sent into the prison,SP0002,brought from outside into the prison and confiscated while sent into the prison,W0436->SS00109,ONLINE SOURCE,,,,,en,2017-10-09,MG,2020-12-09->2017-04-25,MG
->,A00077,AG0029->P0029,AT01,W0061->PS00106,,1964,1966,,Wu Hong mentions that this book was one of the most-beloved and widely-read among his book friends.,,Wu Hong mentions that this book was one of the most-beloved and widely-read among his book friends.,W0428->SS00029,118f,,,,,en,2017-10-09,MG,2020-04-04->2017-10-09,DP->MG
->,A00078,AG0115->P0130,AT13,W0414->G15,,1967,1968,,"Xu Chenggang wrote many letters to his former classmates at 清华附中 to discuss political theories revolving around Social theories, as he was influenced by Djilas’ The New Class and thought about a lot about an economical and political model, which would suit China. ",SP0156,"Xu Chenggang wrote many letters to his former classmates at 清华附中 to discuss political theories revolving around Social theories, as he was influenced by Djilas’ The New Class and thought about a lot about an economical and political model, which would suit China. ",W0471->SS00149,422,,,,,en,2018-01-09,OS,2020-12-09->2018-01-09,MG->OS
->,A00079,AG0626->P0999,AT14,W0022->PS00059,,1969,1969,,The book was destroyed before the 1969 9th National Congress as the translators home got raided and hundreds pages of translation became cigarette paper and were burned.,,The book was destroyed before the 1969 9th National Congress as the translators home got raided and hundreds pages of translation became cigarette paper and were burned.,W0433->SS00061,ONLINE SOURCE,,,,,en,2017-11-07,CW,2020-04-04->2017-11-07,DP->CW
->,A00080,AG0011->P0011,AT03,W0063->PS00121,AG0005->P0005,19XX,19XX,,huge influence on P0005 led her to the way of individualistic freedom and the rejection of societal pressure,,huge influence on AG0005 led her to the way of individualistic freedom and the rejection of societal pressure,W0423->SS00011,79,,,,,en,2017-12-14,MG,2021-01-12->2018-01-22,MG
->,A00081,AG0005->P0005,AT19,W0064->PS00122,AG0009->P0009,1974,1974,,Peng took it as a romantic story with a tragic ending. Still it had a strong political inclination as the protagonist was willing to die for the right cause. Peng declares to Bei Dao that he would like to be like the hero of the story and also devote his life to a democracy movement. However when Bei Dao later reminds him of this he has changed. Art is finally more important than politics to him.,,Peng took it as a romantic story with a tragic ending. Still it had a strong political inclination as the protagonist was willing to die for the right cause. Peng declares to Bei Dao that he would like to be like the hero of the story and also devote his life to a democracy movement. However when Bei Dao later reminds him of this he has changed. Art is finally more important than politics to him.,W0442->SS00115,191,,,,,en,2017-12-14,MG,2020-04-04->2017-12-14,DP->MG
->,A00082,AG0003->P0003,AT02,W0063->PS00121,,19XX,19XX,,copied half of the book by hand,,copied half of the book by hand,W0423->SS00011,75f 79f,,,,,en,2017-12-17,MG,2020-04-04->2018-01-22,DP->MG
->,A00083,AG0061->P0062,AT01,W0052->PS00095,,1969,1970,,she got more self-confident and learned how to analyse the political occurrences of her past by reading the texts,SP0002,she got more self-confident and learned how to analyse the political occurrences of her past by reading the texts,W0440->SS00113,461,,,,,en,2017-12-17,MG,2020-12-09->2018-01-22,MG
->,A00084,AG0061->P0062,AT01,W0050->PS00093,,1969,1970,,she got more self-confident and learned how to analyse the political occurrences of her past by reading the texts,SP0002,she got more self-confident and learned how to analyse the political occurrences of her past by reading the texts,W0440->SS00113,461,,,,,en,2017-12-17,MG,2020-12-09->2018-01-22,MG
->,A00085,AG0073->P0074,AT16,W0065->PS00125,,1964~,1967~,,encouraged her interest in science,,encouraged her interest in science,W0448->SS00123,92,,,,,en,2017-12-17,MG,2020-04-04->2018-01-22,DP->MG
->,A00086,AG0073->P0074,AT16,W0066->PS00126,,1964~,1967~,,one of her favorite books,,one of her favorite books,W0448->SS00123,92,,,,,en,2017-12-17,MG,2020-04-04->2018-01-22,DP->MG
->,A00087,AG0020->P0020,AT04,W0006->PS00015,,1966,1976,,Gao Hua mentions that during the turmoil years of CR when as a son of heiwulei (five black categories) he has been living in the bottom of the society he received supercilious looks and was discriminated against. During these hard times My Apprenticeship and My Universities by Gorky became his spiritual guides.,,Gao Hua mentions that during the turmoil years of CR when as a son of heiwulei (five black categories) he has been living in the bottom of the society he received supercilious looks and was discriminated against. During these hard times My Apprenticeship and My Universities by Gorky became his spiritual guides.,W0420->SS00006,133,,,,,en,2018-02-08,OS,2020-04-04->2018-02-08,DP->OS
