act_id,agent,action,act_object,act_target,start,end,narrative_time,site_information,discussion,source,page,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
A00074,AG0020,AT04,W0043,,1970,1975,NULL,,Rakhmetov the novels protagonist - as well as other idealistic heroes and pioneers of communist revolution - glistened his heart and mind. At the same time Gao Hua was on the one hand torn between Tsarist Russias occupation of China and Stalins hegemony toward China and on the other hand real socialism and Sino-Russian friendly relationships.,W0420,134,NULL,,,2017-09-29,MG,2020-04-04,DP
A00075,AG0114,AT01,W0086,,19XX,19XX,NULL,,Zhang found it in his uncles notebook,W0429,52,NULL,,This quotation also appears verbatim in Zhang 1979: 186. Does Zhang 1979 equate to The Second Handshake?,2017-10-09,MG,2020-04-04,DP
A00076,AG0031,AT12,W0542,,1969,1969,NULL,SP0002,brought from outside into the prison and confiscated while sent into the prison,W0436,ONLINE SOURCE,NULL,,,2017-10-09,MG,2020-12-09,MG
A00077,AG0029,AT01,W0061,,1964,1966,NULL,,Wu Hong mentions that this book was one of the most-beloved and widely-read among his book friends.,W0428,118f,NULL,,,2017-10-09,MG,2020-04-04,DP
A00078,AG0115,AT13,W0414,,1967,1968,NULL,SP0156,"Xu Chenggang wrote many letters to his former classmates at 清华附中 to discuss political theories revolving around Social theories, as he was influenced by Djilas’ The New Class and thought about a lot about an economical and political model, which would suit China. ",W0471,422,NULL,,,2018-01-09,OS,2020-12-09,MG
A00079,AG0626,AT14,W0022,,1969,1969,NULL,,The book was destroyed before the 1969 9th National Congress as the translators home got raided and hundreds pages of translation became cigarette paper and were burned.,W0433,ONLINE SOURCE,NULL,,,2017-11-07,CW,2020-04-04,DP
A00080,AG0011,AT03,W0063,AG0005,19XX,19XX,NULL,,huge influence on AG0005 led her to the way of individualistic freedom and the rejection of societal pressure,W0423,79,NULL,,,2017-12-14,MG,2021-01-12,MG
A00081,AG0005,AT19,W0064,AG0009,1974,1974,NULL,,Peng took it as a romantic story with a tragic ending. Still it had a strong political inclination as the protagonist was willing to die for the right cause. Peng declares to Bei Dao that he would like to be like the hero of the story and also devote his life to a democracy movement. However when Bei Dao later reminds him of this he has changed. Art is finally more important than politics to him.,W0442,191,NULL,,,2017-12-14,MG,2020-04-04,DP
A00082,AG0003,AT02,W0063,,19XX,19XX,NULL,,copied half of the book by hand,W0423,75f 79f,NULL,,,2017-12-17,MG,2020-04-04,DP
A00083,AG0061,AT01,W0052,,1969,1970,NULL,SP0002,she got more self-confident and learned how to analyse the political occurrences of her past by reading the texts,W0440,461,NULL,,,2017-12-17,MG,2020-12-09,MG
A00084,AG0061,AT01,W0050,,1969,1970,NULL,SP0002,she got more self-confident and learned how to analyse the political occurrences of her past by reading the texts,W0440,461,NULL,,,2017-12-17,MG,2020-12-09,MG
A00085,AG0073,AT16,W0065,,1964~,1967~,NULL,,encouraged her interest in science,W0448,92,NULL,,,2017-12-17,MG,2020-04-04,DP
A00086,AG0073,AT16,W0066,,1964~,1967~,NULL,,one of her favorite books,W0448,92,NULL,,,2017-12-17,MG,2020-04-04,DP
A00087,AG0020,AT04,W0006,,1966,1976,NULL,,Gao Hua mentions that during the turmoil years of CR when as a son of heiwulei (five black categories) he has been living in the bottom of the society he received supercilious looks and was discriminated against. During these hard times My Apprenticeship and My Universities by Gorky became his spiritual guides.,W0420,133,NULL,,,2018-02-08,OS,2020-04-04,DP
A00088,AG0124,AT05,W0020,,1966,1976,NULL,,Xiao Xiao mentions it as one of the most important neibu books of the CR,W0474,7,NULL,,,2018-02-08,OS,2020-04-04,DP
A00089,AG0124,AT05,W0023,,1966,1976,NULL,,Xiao Xiao mentions it as one of the most important neibu books of the CR,W0474,8,NULL,,,2018-02-08,OS,2020-04-04,DP
A00090,AG0104,AT05,W0026,,1966,1976,NULL,,According to Wang Shiqiangs research this piece was one of the most important yellow-covered neibeu books of the CR,W0423,78,NULL,,,2018-02-08,OS,2020-04-04,DP
A00091,AG0104,AT05,W0009,,1966,1976,NULL,,According to Wang Shiqiangs research this piece was one of the most important yellow-covered neibu books of the CR,W0423,78,NULL,,,2018-02-08,OS,2020-04-04,DP
A00092,AG0104,AT05,W0008,,1966,1976,NULL,,According to Wang Shiqiangs research this piece was one of the most important yellow-covered neibu books of the CR,W0423,78,NULL,,,2018-02-08,OS,2020-04-04,DP
A00093,AG0103,AT05,W0037,,1966,1976,NULL,,Han Shaogong mentions it as one of the most important neibu books of the CR,W0419,580,NULL,,,2018-02-08,OS,2020-04-04,DP
A00094,AG0104,AT05,W0004,,1966,1976,NULL,,According to Wang Shiqiangs research this piece was one of the most important yellow-covered neibu books of the CR,W0423,78,NULL,,,2018-02-08,OS,2020-04-04,DP
A00095,AG0130,AT05,W0036,,1966,1976,NULL,,"""Perry Link mentions that Jane Eyre """"became well known and an intensely sought prize during the Cultural Revolution when Jiang Qing listed it with seven other works as highly recommended reading."""" This explains the post-CR success of the book. """,W0434,170,NULL,,,2018-02-08,OS,2020-04-04,DP
A00096,AG0156,AT05,W0059,,1966,1976,NULL,,Song Yongyi mentions it as one of the most important grey-covered books during the CR,W0435,327,NULL,,,2018-02-08,OS,2020-04-04,DP
A00097,AG0130,AT05,W0062,,1966,1976,NULL,,"""Perry Link mentions that A Tale of Two Cities """"became well known and an intensely sought prize during the Cultural Revolution when Jiang Qing listed it with seven other works as highly recommended reading."""" This explains the post-CR success of the book. """,W0434,170,NULL,,,2018-02-08,OS,2020-04-04,DP
A00098,AG0104,AT05,W0063,,1966,1976,NULL,,According to Wang Shiqiangs research this piece was one of the most important yellow-covered neibu books of the CR,W0423,79,NULL,,,2018-02-08,OS,2020-04-04,DP
A00099,AG0105,AT16,W0060,,1974~,1974~,NULL,,Xu read it when being 20 years old and cried like a child. She states that no 20-year-old could read it without being completely stunned. She acted differently so that the boss of (her parents) danwei came along and checked for her. He found the book and scolded her and adviced to rather read 欧阳海之歌 or The Golden Road by Hao Ran. Thereafter she was marked as somebody with inclinations to a petty-capitalist life-style.,W0432,159,NULL,,,2018-02-08,OS,2020-04-04,DP
A00147,AG0009,AT01,W0070,,1962,1965,NULL,,The most influential work for Bei Dao are by Ehrenburg and he read this piece many times. It opened a window to a world so different from his real life. It seems not that good to him now. But at those times it served as a guidebook for 'searching' young people and gave them an ability to dream.,W0423,88,NULL,,,2018-01-23,OS,2020-04-04,DP
A00148,AG0003,AT03,W0073,AG0626,1968?,1968?,NULL,,Zhang Langlang gave that poem to some students from Beijing to read and memorize,W0486,112,NULL,,,2018-01-24,OS,2020-04-04,DP
A00149,AG0114,AT01,W0074,,1971,1976?,NULL,SP0002,Zhang Yang read it in prison after the Lin Biao incident,W0429,110ff,NULL,,,2018-01-25,OS,2020-12-09,MG
A00150,AG0114,AT01,W0075,,1971,1976?,NULL,SP0002,Zhang Yang read it in prison after the Lin Biao incident,W0429,110ff,NULL,,,2018-01-25,OS,2020-12-09,MG
A00151,AG0626,AT03,W0075,AG0114,1971?,1976?,NULL,SP0002,Several Books were sent to him when he was in prison,W0429,435,NULL,,,2018-01-25,OS,2020-12-09,MG
A00152,AG0626,AT03,W0076,AG0114,1971?,1976?,NULL,SP0002,Several Books were sent to him when he was in prison,W0429,435,NULL,,,2018-01-25,OS,2020-12-09,MG
A00153,AG0009,AT01,W0074,,1971,1971,NULL,,Bei Dao mentioned that he had read the book in 1971,W0487,33,NULL,,,2018-01-25,OS,2020-04-04,DP
A00154,AG0195,AT01,W0076,,1968,1972,NULL,,This book was the initiation of his history study.,W0488,258-259,NULL,,,2018-01-25,OS,2020-04-04,DP
A00155,AG0626,AT14,W0077,,1966,1966,NULL,,This book in a precious editon was left in the house by Qian Dachuans maternal grandfather and later found by Red Guards and destroyed.,W0489,ONLINE SOURCE,NULL,,,2018-02-01,OS,2021-01-12,MG
A00156,AG0197,AT01,W0414,,1962?,1970?,NULL,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,249,NULL,unknown work by: AG0096 G24,very likely that for the 1960s books by this author refer to a neibu publication,2018-02-01,OS,2020-04-04,DP
A00157,AG0197,AT01,W0414,,1962?,1970?,NULL,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,249,NULL,unknown work by: AG0198 G24,very likely that for the 1960s books by this author refer to a neibu publication,2018-02-01,OS,2020-04-04,DP
A00158,AG0197,AT01,W0414,,1962?,1970?,NULL,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,249,NULL,unknown work by: AG0199 G24,very likely that for the 1960s books by this author refer to a neibu publication,2018-02-01,OS,2020-04-04,DP
A00159,AG0197,AT01,W0414,,1962?,1970?,NULL,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,249,NULL,unknown work by: AG0200 G24,very likely that for the 1960s books by this author refer to a neibu publication,2018-02-01,OS,2020-04-04,DP
A00160,AG0197,AT01,W0414,,1962?,1970?,NULL,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,249,NULL,unknown work by: AG0201 G24,very likely that for the 1960s books by this author refer to a neibu publication,2018-02-01,OS,2020-04-04,DP
A00161,AG0197,AT01,W0414,,1962?,1970?,NULL,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,249,NULL,unknown work by: AG0202 G24,very likely that for the 1960s books by this author refer to a neibu publication,2018-02-01,OS,2020-04-04,DP
A00162,AG0197,AT01,W0414,,1962?,1970?,NULL,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,249,NULL,unknown work by: AG0203 G24,very likely that for the 1960s books by this author refer to a neibu publication,2018-02-01,OS,2020-04-04,DP
A00163,AG0197,AT01,W0414,,1962?,1970?,NULL,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,249,NULL,unknown work by: AG0204 G24,very likely that for the 1960s books by this author refer to a neibu publication,2018-02-01,OS,2020-04-04,DP
A00164,AG0197,AT01,W0009,,1962?,1970?,NULL,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,249,NULL,,please check the source again to adjust act type and other relevant info see issue #299,2018-02-01,OS,2020-04-04,DP
A00165,AG0197,AT01,W0414,,1962?,1970?,NULL,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,249,NULL,unknown work by: AG0079 G29,,2018-02-01,OS,2020-04-04,DP
A00166,AG0197,AT01,W0414,,1962?,1970?,NULL,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,249,NULL,unknown work by: AG0096 G24,very likely that for the 1960s books by this author refer to a neibu publication,2018-02-01,OS,2020-04-04,DP
A00167,AG0197,AT04,W0068,,196x,196x,NULL,,The full secret speech of Khrushchev circulated in China as well and Li had access to it. He was very influenced by it and from there on had doubted the official line.,W0490,249,NULL,,,2018-02-02,OS,2020-04-04,DP
A00168,AG0197,AT03,W0068,AG0205,1968?,1971,NULL,SP0132,Li handed it over to Liu Jingzi and does not know to whom she gave it.,W0490,249,NULL,,,2018-02-02,OS,2020-12-09,MG
A00169,AG0197,AT03,W0068,AG0206,1968?,1971,NULL,SP0132,Li handed it over to Liu Jingzi and does not know to whom she gave it.,W0490,249,NULL,,,2018-02-02,OS,2020-12-09,MG
A00170,AG0205,AT04,W0068,,1968?,1971,NULL,SP0132,Liu was very influenced by it and from there on had doubted the official line.,W0490,249,NULL,,,2018-02-02,OS,2020-12-09,MG
A00171,AG0206,AT04,W0068,,1968?,1971,NULL,SP0132,Zhang was very influenced by it and from there on had doubted the official line.,W0490,249,NULL,,,2018-02-02,OS,2020-12-09,MG
A00173,AG0031,AT01,W0079,,1969,1969,NULL,SP0002,,W0525,ONLINE SOURCE,NULL,,,2018-02-05,OS,2020-12-08,MG
A00174,AG0029,AT16,W0081,,1964,1966,NULL,,He read it around the beginning of the CR and mentions that this book was one of the most-beloved and widely-read among his book friends.,W0428,118-119,NULL,,,2018-02-05,OS,2020-04-04,DP
A00175,AG0105,AT04,W0080,,1966,1968,NULL,,She wrote a letter to Zhao Yifan and stated that similar to Dostoyevskys novels only through hardship and suffering one can really get rid of selfishness. And only then could sublime art be refined.,W0424,158f,NULL,,,2018-02-05,OS,2020-04-04,DP
A00176,AG0061,AT01,W0083,,1974,1974,NULL,SP0002,after mostly reading newspapers and political works she was happy to read a novel again. She obtained it from her family when in prison.,W0440,477,NULL,,,2018-02-06,OS,2020-12-11,MG
A00177,AG0213,AT18,W0414,,1970,1970,NULL,SP0001,Yuan went to the Beijing (National?) library (SP0005) o borrow the book. The employee asked her why she is interested in bourgeois literature and refused to hand it out.,W0433,ONLINE SOURCE,NULL,,see #399 was PS00204,2018-02-06,OS,2020-12-11,MG
A00178,AG0029,AT17,W0084,AG0626,1969,1972,NULL,SP0008,Wu Hong counted among the best storytellers in Hebei. It took him two weeks to recount Le Comte de Monte-Christo. His audience averaged one dozen people.,W0428,122,NULL,,,2018-02-06,OS,2020-12-11,MG
A00179,AG0626,AT17,W0084,AG0214,1968?,1975?,NULL,SP0133,Ye Weili recounts that a guy retold the whole Monte Christo off the top of his head. Nobody had read the book therefore nobody knew whether the story was correct.,W0495,121,NULL,,,2018-02-06,OS,2020-12-11,MG
A00180,AG0626,AT17,W0084,AG0626,1968,1979,NULL,,The Monte Christo counted among the most-sought after stories yet it was very hard to obtain. There were some Master story tellers who would profit a lot from being able to vividly retell these stories as a whole.,W0419,572,NULL,,,2018-02-06,OS,2020-04-04,DP
