act_id,agent,action,act_object,act_target,start,end,narrative_time,site_information,discussion,source,page,fictionality,commentary,note,id_lang,created,created_by,last_modified,last_modified_by
A00018,AG0029,AT09,W0011,,1966,1969,,SP0008,During the early period of the CR Wu was transferred from one place to another for investigation. He found a shouchaoben copy signed Lu Xun there and memorized the entire collection. He was transferred to the Film Academy (still under arrest) where he put Lu Xuns collection on paper. The copy was found and confiscated by the supervisor.,W0428,75f 79f,,,,en,2017-12-17,MG,2020-04-04,DP
A00019,AG0114,AT01,W0414,,1954,1956,,,for the next two years he read many texts by Lu Xun especially his essays.,W0429,291,,,took this act place in SP0025? Check if agent was rusticated.,en,2018-02-13,OS,2020-12-11,MG
A00020,AG0114,AT10,W0067,,1967,1967,,SP0113,in 1967 he compiled 鲁迅语录 not for publications but for his friends,W0429,122,,,,en,2018-03-28,WH,2020-12-14,MG
A00021,AG0103,AT01,W0414,,1967,1967,,,Later the authors home was plundered as well and all of his collections were confiscated by the red guards.,W0419,197,F,unknown work; G22 ; L0014,Translation,en,2021-07-09,MG,2022-05-09,DP
A00022,AG0118,AT01,W0014,,1979,1979,,,The author read the poem of Baudelaire (Le Balcon 露台／阳台) at this time when so many foreign poems appeared again in public.,W0476,4,,,,en,2019-02-17,WH,2020-04-04,DP
A00023,AG0118,AT01,W0013,,1984,1984,,,The author visited Chen Jingrong in a morning of the summer in 1984.  She showed him a collection of her translations from the 1960s. These Poems were once published on World Literature and   had influenced Bei Dao and other poets at that time.,W0476,389,,,,en,2019-02-17,WH,2020-04-04,DP
A00024,AG0117,AT11,W0012,,1975,1980,,,The author started to translate these works,W0430,581,,,Pls check source again for detailed info see #299,en,2019-02-18,MG,2020-04-04,DP
A00025,AG0103,AT01,W0012,,1968,1974,,SP0055,The author remembered that there was a worker whose surname was Zhu. He wrote many poems and mentioned these poets very often,W0419,183,F,unknown work by P0634,Translation,en,2021-06-22,MG,2022-05-09,DP
A00026,AG0017,AT04,W0012,,19XX,19XX,,,big influence,W0422,133,,,,en,2018-02-08,OS,2020-04-04,DP
A00027,AG0119,AT04,W0012,,1973,1973,,SP0025,modernism such as Baudelaire influences the way he writes poetry,W0432,8,,,,en,2018-03-27,MG,2020-04-04,DP
A00028,AG0010,AT01,W0004,,1970..,1970..,,SP0025,This popular book at the time brought a new spirit to Beijing youth in the early 1970s.,W0432,7-10,,,,en,2019-01-07,DM,2020-04-04,DP
A00029,AG0017,AT04,W0004,,1973~,1973~,,SP0011,states that Aksyonov has had a huge influence on the writing of many authors of the time including him or Wang Shuo 王朔,W0422,133,,,,en,2017-07-19,LH,2020-04-04,DP
A00030,AG0002,AT01,W0015,,1962,1963,,,Its about a man left his father and devoted himself in dangerous work. The reader said it is similar to his situation.,W0432,127,,,,en,2018-03-27,MG,2020-04-04,DP
A00031,AG0021,AT01,W0015,,19XX,19XX,,,unknown,W0432,573,,,,en,2018-05-03,WH,2021-01-02,MG
A00032,AG0022,AT01,W0015,,1962,1963,,,His favorite quote from the book is Either unknown or outstanding,W0432,133,,,,en,2018-03-27,MG,2020-04-04,DP
A00033,AG0002,AT01,W0016,,1962,1963,,,unknown,W0432,188,,,,en,2018-04-03,MG,2020-04-04,DP
A00034,AG0003,AT01,W0017,,1960,1965?,,,Channel of obtaining: the collection of writer 海默,W0432,189,,,,en,2018-04-03,MG,2020-04-04,DP
A00035,AG0116,AT01,W0018,,19XX,19XX,,,Li Daxing had access to western works via his fathers friend Li Shu 黎澍,W0475,15,,,,en,2018-11-25,WH,2020-04-04,DP
A00036,AG0103,AT01,W0414,,1967,1967,,,Later the authors home was plundered as well and all of his collections were confiscated by the red guards.,W0419,206,F,unknown work; G19; L0014,Translation,en,2021-07-09,MG,2022-05-09,DP
A00037,AG0020,AT01,W0019,,1966,1970?,,SP0003,Gao Hua mentioned that the newspaper occasionally published the reports on Vietnam relationships with the Soviet Union Eastern Europe and Cuba. Gao Hua used to go to this bookstore (Nanjing Foreign Languages Bookstore) every week.,W0420,433,F,,Translation,en,2021-07-21,MG,2022-05-09,DP
A00038,AG0121,AT21,W0021,,1970,1970,,SP0075,when XXX one is reminded of the quote by Bai Juyi,W0437,327,,,,en,2018-05-31,DM,2020-04-04,DP
A00039,AG0626,AT20,W0530,,1972,1972,,SP0137,Xu Haoyuan mentions that this play was staged by fellow zhiqing,W0477,149,,,,en,2019-01-31,LH,2021-01-12,MG
A00040,AG0122,AT04,W0554,,19XX,19XX,,,The author and his friends knew about this painter from the Russian magazine 星火杂志.  They cherished this Romanian most.,W0478,562,,,,en,2019-02-24,WH,2020-04-04,DP
A00041,AG0123,AT01,W0554,,1970,1976,,,During that time the music became popular again. Some pieces had survived through the early stage of the CR and they spread secretly among the people.,W0438,327,,,,en,2018-08-04,DM,2020-04-04,DP
A00042,AG0003,AT01,W0414,AG0628,1963,1964,,,In the home of Jiang Dingyue 蔣定粵s anonymous friend,W0432,8,,,,en,2018-03-27,MG,2020-04-04,DP
A00043,AG0029,AT01,W0414,AG0628,19XX,19XX,,,Wu Hong mentions that the same crowd that listened to the Beatles and read yellow-covered books during the socialist education movement and before the eve of the CR was also infatuated with post-impressionist modern art (印象派之后的现代艺). Obtained from private channels.,W0428,170,,,,en,2018-02-08,OS,2020-04-04,DP
A00044,AG0125,AT23,W0552,,1978,1978,,,was very impressed,W0479,ONLINE SOURCE,,,Added by CW and JH transferred without rechecking requires further checks,en,2019-02-24,WH,2020-04-04,DP
A00045,AG0040,AT11,W0022,,1969,1969,,,He worked on the translation of the book and before 1969 9th National Congress his home got raided again. The hundreds pages of translation became cigarette paper and were burned.,W0433,159,,,,en,2018-04-09,MG,2020-04-04,DP
A00046,AG0009,AT13,W0024,,1976,1976,,,After his younger sister had passed away; Bei Dao finished his novel Waves. He was so devastated; that he locked himself in and focused on reading and writing.,W0480,569f,,unknown work by: AG0084,,en,2017-08-25,MG,2020-04-04,DP
A00047,AG0118,AT02,W0025,,1979,1979,,,Among other works they have copied The Answer by Bei Dao,W0476,259,,,,en,2019-02-17,WH,2020-04-04,DP
A00048,AG0018,AT01,W0026,,1975..1983,1975..1983,,,Yan Li and a friend (Mao Tou) were discussing some poems by Bei Dao,W0480,422,,,,en,2018-01-09,OS,2020-12-09,MG
A00049,AG0118,AT02,W0029,,1979,1979,,,unknown,W0476,419,,,read during rustication?,en,2019-02-17,WH,2021-01-12,MG
A00050,AG0118,AT02,W0030,,1979,1979,,,unknown,W0476,55,,,,en,2019-03-09,MG,2021-01-09,MG
A00051,AG0118,AT02,W0031,,1979,1979,,,unknown,W0476,53,,,,en,2019-02-17,WH,2021-01-12,MG
A00052,AG0119,AT02,W0028,,1973,1973,,SP0025,copied from Jiang He 江河,W0432,38,,,,en,2020-12-19,MG,2020-12-19,MG
A00053,AG0119,AT02,W0027,,1973,1973,,SP0025,copied from Jiang He 江河,W0432,38,,,,en,2018-05-03,WH,2020-12-19,MG
A00054,AG0014,AT02,W0032,,1974~,1974~,,,Xu Xiao copied and hid it,W0424,495,,,,en,2017-08-27,MG,2020-12-09,MG
A00055,AG0118,AT13,W0033,,1979,1979,,,This is the first poem of the author,W0476,562,,,,en,2019-02-23,WH,2020-04-04,DP
A00056,AG0118,AT13,W0034,,1979,1979,,,The author was deeply influenced by Sylvia Plath in the beginning of his work as a poet,W0476,55,,,,en,2019-02-23,WH,2021-01-12,MG
A00057,AG0128,AT11,W0035,,1966,1976,,,According to Wang Shiqiangs research this piece was one of the most influential yellow-covered books for the generation of pre-misty poets,W0423,ONLINE SOURCE,,,,en,2017-07-27,LH,2020-03-11,MG
A00059,AG0103,AT05,W0037,,1960,1980,,,Han ranks the work among the most influential books during the long 1970s,W0419,183,F,unknown work by P0084,Translation,en,2021-06-22,MG,2022-05-09,DP
A00060,AG0133,AT01,W0038,,1966,1976,,,he wrote research of the Dream of the Red Chamber and was put on the hat of 牛鬼蛇神. In 1954 a campaign was launched to criticize his bourgeoise interpretation of the book.,W0481,116-117,,unknown work by: AG0223 G16,,en,2018-02-13,OS,2021-01-12,MG
A00061,AG0029,AT01,W0038,,19XX,19XX,,,He read it before his university studies and mentions that this book was one of the most-beloved and widely-read among his book friends.,W0428,190,,,agents were rusticated in different places?,en,2018-02-16,OS,2020-12-11,MG
A00062,AG0134,AT01,W0038,,19XX,19XX,,,He wanted the book so badly and it was really hard to have one. But he finally got one from the brother of one of his classmates and read it secretly.,W0482,116f,,unknown work by: AG0277,,en,2018-03-28,WH,2020-12-14,MG
A00063,AG0003,AT01,W0038,,1964,196X,,,unknown,W0439,8,,,,en,2018-08-04,DM,2020-04-04,DP
A00064,AG0057,AT01,W0039,,1966,1967~,,SP0005,after reading Li Dazhao and other foreign and Chinese classics he still found Lu Xun the best,W0427,131,,,,en,2018-03-27,MG,2020-04-04,DP
A00065,AG0003,AT15,W0531,,1961,196X,,,unknown,W0432,565,,,,en,2018-04-09,MG,2020-04-04,DP
A00066,AG0067,AT15,W0531,,1961,196X,,,unknown,W0432,119,,,,en,2018-04-09,MG,2020-04-04,DP
A00067,AG0003,AT15,W0532,,1961,196X,,,unknown,W0432,79,,,read during rustication?,en,2018-04-09,MG,2020-12-16,MG
A00068,AG0067,AT15,W0532,,1961,196X,,,unknown,W0432,129,,,,en,2018-04-09,MG,2020-04-04,DP
A00069,AG0003,AT15,W0533,,1961,196X,,,unknown,W0432,159,,,,en,2018-04-09,MG,2020-04-04,DP
A00070,AG0067,AT15,W0533,,1961,196X,,,unknown,W0432,60,,,read during rustication?,en,2018-04-09,MG,2020-12-16,MG
A00071,AG0117,AT11,W0040,,1975,1979,,,The author published some translated chapters of Charlie Chaplins autobiography on the magazine Foreign Films which was founded by Huang Tianmin,W0430,581,,,Pls check source again for detailed info see #299,en,2019-02-18,MG,2020-04-04,DP
A00072,AG0106,AT01,W0041,,1970,1975,,,story-telling context: in her spare time Shu Ting tells this in her own words,W0425,537,,,,en,2017-09-13,MG,2020-04-04,DP
A00073,AG0117,AT13,W0042,AG0144,1978,1978,,,Chen wrote this Poem for Mr. Yan Wenliang. The author first touched upon impressionism fine arts in Yan’s home at which he was totally impressed.,W0430,7-10,,,Pls check source again for detailed info see #299,en,2019-02-18,MG,2020-04-04,DP
A00074,AG0020,AT04,W0043,,1970,1975,,,Rakhmetov the novels protagonist - as well as other idealistic heroes and pioneers of communist revolution - glistened his heart and mind. At the same time Gao Hua was on the one hand torn between Tsarist Russias occupation of China and Stalins hegemony toward China and on the other hand real socialism and Sino-Russian friendly relationships.,W0420,435,F,unknown work,Translation,en,2021-07-21,MG,2022-05-09,DP
A00075,AG0114,AT01,W0086,,19XX,19XX,,,Zhang found it in his uncles notebook,W0429,52,,,This quotation also appears verbatim in Zhang 1979: 186. Does Zhang 1979 equate to The Second Handshake?,en,2017-10-09,MG,2020-04-04,DP
A00076,AG0031,AT12,W0542,,1969,1969,,SP0002,brought from outside into the prison and confiscated while sent into the prison,W0436,454,,,,en,2018-06-05,MG,2020-04-04,DP
A00077,AG0029,AT01,W0061,,1964,1966,,,Wu Hong mentions that this book was one of the most-beloved and widely-read among his book friends.,W0428,372,,,,en,2018-05-08,MG,2020-04-04,DP
A00078,AG0115,AT13,W0414,,1967,1968,,SP0156,"Xu Chenggang wrote many letters to his former classmates at 清华附中 to discuss political theories revolving around Social theories, as he was influenced by Djilas’ The New Class and thought about a lot about an economical and political model, which would suit China. ",W0471,445,,,,en,2018-11-04,WH,2021-01-05,MG
A00079,AG0626,AT14,W0022,,1969,1969,,,The book was destroyed before the 1969 9th National Congress as the translators home got raided and hundreds pages of translation became cigarette paper and were burned.,W0433,?,,,,en,2018-04-09,MG,2020-04-04,DP
A00080,AG0011,AT03,W0063,AG0005,19XX,19XX,,,huge influence on AG0005 led her to the way of individualistic freedom and the rejection of societal pressure,W0423,422,,,,en,2017-07-28,MG,2020-12-09,MG
A00081,AG0005,AT19,W0064,AG0009,1974,1974,,,Peng took it as a romantic story with a tragic ending. Still it had a strong political inclination as the protagonist was willing to die for the right cause. Peng declares to Bei Dao that he would like to be like the hero of the story and also devote his life to a democracy movement. However when Bei Dao later reminds him of this he has changed. Art is finally more important than politics to him.,W0442,541,,,,en,2018-06-11,MG,2020-04-04,DP
A00082,AG0003,AT02,W0063,,19XX,19XX,,,copied half of the book by hand,W0423,121,,,,en,2017-07-28,LH,2020-12-09,MG
A00083,AG0061,AT01,W0052,,1969,1970,,SP0002,she got more self-confident and learned how to analyse the political occurrences of her past by reading the texts,W0440,ONLINE SOURCE,,,,en,2018-07-10,WH,2020-04-04,DP
A00084,AG0061,AT01,W0050,,1969,1970,,SP0002,she got more self-confident and learned how to analyse the political occurrences of her past by reading the texts,W0440,ONLINE SOURCE,,,,en,2018-07-09,WH,2020-04-04,DP
A00085,AG0073,AT16,W0065,,1964~,1967~,,,encouraged her interest in science,W0448,301,,,,en,2018-07-17,MG,2021-01-02,MG
A00086,AG0073,AT16,W0066,,1964~,1967~,,,one of her favorite books,W0448,170,,,no source or date for the list is given,en,2018-07-20,MG,2020-04-04,DP
A00087,AG0020,AT04,W0006,,1966,1976,,,Gao Hua mentions that during the turmoil years of CR when as a son of heiwulei (five black categories) he has been living in the bottom of the society he received supercilious looks and was discriminated against. During these hard times My Apprenticeship and My Universities by Gorky became his spiritual guides.,W0420,426,F,unknown work; G83,Translation,en,2021-07-21,MG,2022-05-09,DP
A00088,AG0124,AT05,W0020,,1966,1976,,,Xiao Xiao mentions it as one of the most important neibu books of the CR,W0474,433,,,,en,2018-11-09,WH,2021-01-09,MG
A00089,AG0124,AT05,W0023,,1966,1976,,,Xiao Xiao mentions it as one of the most important neibu books of the CR,W0474,443,,,,en,2018-11-09,WH,2020-04-04,DP
A00090,AG0104,AT05,W0026,,1966,1976,,,According to Wang Shiqiangs research this piece was one of the most important yellow-covered neibeu books of the CR,W0423,ONLINE SOURCE,,,,en,2017-07-27,LH,2020-04-04,DP
A00091,AG0104,AT05,W0009,,1966,1976,,,According to Wang Shiqiangs research this piece was one of the most important yellow-covered neibu books of the CR,W0423,ONLINE SOURCE,,,,en,2017-07-27,LH,2020-04-04,DP
A00092,AG0104,AT05,W0008,,1966,1976,,,According to Wang Shiqiangs research this piece was one of the most important yellow-covered neibu books of the CR,W0423,249,,,please check the source again to adjust act type and other relevant info see issue #299,en,2018-02-01,OS,2020-04-04,DP
A00093,AG0103,AT05,W0037,,1966,1976,,,Han Shaogong mentions it as one of the most important neibu books of the CR,W0419,183,F,unknown work by P0186,Translation,en,2021-06-22,MG,2022-05-09,DP
A00094,AG0104,AT05,W0004,,1966,1976,,,According to Wang Shiqiangs research this piece was one of the most important yellow-covered neibu books of the CR,W0423,554,,,,en,2017-07-28,MG,2020-12-09,MG
A00095,AG0130,AT05,W0036,,1966,1976,,,Perry Link mentions that Jane Eyre 'became well known and an intensely sought prize during the Cultural Revolution when Jiang Qing listed it with seven other works as highly recommended reading.' This explains the post-CR success of the book.,W0434,ONLINE SOURCE,,,,en,2018-05-14,MG,2020-12-17,MG
A00096,AG0156,AT05,W0059,,1966,1976,,,Song Yongyi mentions it as one of the most important grey-covered books during the CR,W0435,454,,,,en,2018-05-15,MG,2020-12-17,MG
A00097,AG0130,AT05,W0062,,1966,1976,,,Perry Link mentions that Jane Eyre 'became well known and an intensely sought prize during the Cultural Revolution when Jiang Qing listed it with seven other works as highly recommended reading.' This explains the post-CR success of the book.,W0434,ONLINE SOURCE,,,,en,2018-05-14,MG,2020-12-17,MG
A00098,AG0104,AT05,W0063,,1966,1976,,,According to Wang Shiqiangs research this piece was one of the most important yellow-covered neibu books of the CR,W0423,121,,,,en,2017-07-28,LH,2020-04-04,DP
A00099,AG0105,AT16,W0060,,1974~,1974~,,,Xu read it when being 20 years old and cried like a child. She states that no 20-year-old could read it without being completely stunned. She acted differently so that the boss of (her parents) danwei came along and checked for her. He found the book and scolded her and adviced to rather read 欧阳海之歌 or The Golden Road by Hao Ran. Thereafter she was marked as somebody with inclinations to a petty-capitalist life-style.,W0432,189,,,,en,2018-04-03,MG,2020-04-04,DP
A00147,AG0009,AT01,W0070,,1962,1965,,,The most influential work for Bei Dao are by Ehrenburg and he read this piece many times. It opened a window to a world so different from his real life. It seems not that good to him now. But at those times it served as a guidebook for 'searching' young people and gave them an ability to dream.,W0423,454,,,,en,2017-08-08,MG,2020-04-04,DP
A00148,AG0003,AT03,W0073,AG0626,1968?,1968?,,,Zhang Langlang gave that poem to some students from Beijing to read and memorize,W0486,162f,,unknown work by: AG0302,,en,2018-04-06,MG,2020-04-04,DP
A00149,AG0114,AT01,W0074,,1971,1976?,,SP0002,Zhang Yang read it in prison after the Lin Biao incident,W0429,121,,,,en,2018-04-06,WH,2020-12-14,MG
A00150,AG0114,AT01,W0075,,1971,1976?,,SP0002,Zhang Yang read it in prison after the Lin Biao incident,W0429,,,,,en,2018-04-06,WH,2020-12-14,MG
A00151,AG0626,AT03,W0075,AG0114,1971?,1976?,,SP0002,Several Books were sent to him when he was in prison,W0429,572,,,MG: Same discussion as in A00284. Maybe we should check this again.,en,2018-03-28,WH,2020-12-14,MG
A00152,AG0626,AT03,W0076,AG0114,1971?,1976?,,SP0002,Several Books were sent to him when he was in prison,W0429,477,,,,en,2018-02-06,OS,2020-12-11,MG
A00153,AG0009,AT01,W0074,,1971,1971,,,Bei Dao mentioned that he had read the book in 1971,W0487,231,,unknown work by: AG0328,marked as neibu,en,2018-05-22,MG,2020-04-04,DP
A00154,AG0195,AT01,W0076,,1968,1972,,,This book was the initiation of his history study.,W0488,116,,unknown work by: AG0390,,en,2018-05-31,DM,2020-04-04,DP
A00155,AG0626,AT14,W0077,,1966,1966,,,This book in a precious editon was left in the house by Qian Dachuans maternal grandfather and later found by Red Guards and destroyed.,W0489,311,,unknown work by: AG0286,pls check the source again,en,2018-06-04,MG,2020-04-04,DP
A00156,AG0197,AT01,W0414,,1962?,1970?,,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,301,,unknown work by: AG0371 G13,,en,2018-06-25,MG,2021-01-02,MG
A00157,AG0197,AT01,W0414,,1962?,1970?,,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,52,,unknown work by: AG0408,,en,2019-01-07,DM,2020-04-04,DP
A00158,AG0197,AT01,W0414,,1962?,1970?,,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,116f,,unknown work by: AG0411,,en,2019-01-08,DM,2021-01-02,MG
A00159,AG0197,AT01,W0414,,1962?,1970?,,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,116f,,unknown work by: AG0264,,en,2019-01-08,DM,2021-01-02,MG
A00160,AG0197,AT01,W0414,,1962?,1970?,,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,348,,unknown work by: AG0301,Added by LH transferred without rechecking requires further checks,en,2019-01-08,DM,2020-04-04,DP
A00161,AG0197,AT01,W0414,,1962?,1970?,,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,452,,unknown work by: AG0285,,en,2018-03-21,MG,2020-04-04,DP
A00162,AG0197,AT01,W0414,,1962?,1970?,,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,452,,unknown work by: AG0286,,en,2018-03-21,MG,2020-04-04,DP
A00163,AG0197,AT01,W0414,,1962?,1970?,,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,569,,,see #399 unknown source was: PS00294,en,2018-04-09,MG,2021-01-02,MG
A00164,AG0197,AT01,W0009,,1962?,1970?,,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,536,,unknown work by: AG0355 G10,,en,2018-06-06,MG,2020-04-04,DP
A00165,AG0197,AT01,W0414,,1962?,1970?,,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,311,,unknown work by: AG0376 G10,,en,2018-06-28,MG,2020-04-04,DP
A00166,AG0197,AT01,W0414,,1962?,1970?,,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490,52,,unknown work by: AG0379,,en,2018-07-03,MG,2020-04-04,DP
A00167,AG0197,AT04,W0068,,196x,196x,,,The full secret speech of Khrushchev circulated in China as well and Li had access to it. He was very influenced by it and from there on had doubted the official line.,W0490,583,,unknown work by: AG0362 G29,,en,2018-06-12,MG,2020-04-04,DP
A00168,AG0197,AT03,W0068,AG0205,1968?,1971,,SP0132,Li handed it over to Liu Jingzi and does not know to whom she gave it.,W0490,454,,unknown work by: AG0351,,en,2018-06-05,MG,2020-04-04,DP
A00169,AG0197,AT03,W0068,AG0206,1968?,1971,,SP0132,Li handed it over to Liu Jingzi and does not know to whom she gave it.,W0490,52,,unknown work by: AG0354,,en,2018-06-06,MG,2020-04-04,DP
A00170,AG0205,AT04,W0068,,1968?,1971,,SP0132,Liu was very influenced by it and from there on had doubted the official line.,W0490,580,,unknown work by: AG0198,,en,2018-06-12,MG,2020-04-04,DP
A00171,AG0206,AT04,W0068,,1968?,1971,,SP0132,Zhang was very influenced by it and from there on had doubted the official line.,W0490,52,,unknown work by: AG0162,,en,2018-06-19,MG,2020-04-04,DP
A00173,AG0031,AT01,W0079,,1969,1969,,SP0002,,W0525,196,,,,en,2019-01-28,WH,2020-04-04,DP
A00174,AG0029,AT16,W0081,,1964,1966,,,He read it around the beginning of the CR and mentions that this book was one of the most-beloved and widely-read among his book friends.,W0428,92,,,,en,2017-12-17,MG,2020-04-04,DP
A00175,AG0105,AT04,W0080,,1966,1968,,,She wrote a letter to Zhao Yifan and stated that similar to Dostoyevskys novels only through hardship and suffering one can really get rid of selfishness. And only then could sublime art be refined.,W0424,8,,,,en,2018-02-08,OS,2020-04-04,DP
A00176,AG0061,AT01,W0083,,1974,1974,,SP0002,after mostly reading newspapers and political works she was happy to read a novel again. She obtained it from her family when in prison.,W0440,300,,,unknown place of rustication,en,2018-07-12,WH,2020-12-19,MG
A00177,AG0213,AT18,W0414,,1970,1970,,SP0001,Yuan went to the Beijing (National?) library (SP0005) o borrow the book. The employee asked her why she is interested in bourgeois literature and refused to hand it out.,W0433,580,,,,en,2018-05-08,MG,2020-12-17,MG
A00178,AG0029,AT17,W0084,AG0626,1969,1972,,SP0008,Wu Hong counted among the best storytellers in Hebei. It took him two weeks to recount Le Comte de Monte-Christo. His audience averaged one dozen people.,W0428,118f,,,,en,2017-10-09,MG,2020-04-04,DP
A00179,AG0626,AT17,W0084,AG0214,1968?,1975?,,SP0133,Ye Weili recounts that a guy retold the whole Monte Christo off the top of his head. Nobody had read the book therefore nobody knew whether the story was correct.,W0495,249,,unknown work by: AG0079,,en,2018-10-19,MG,2020-04-04,DP
A00180,AG0626,AT17,W0084,AG0626,1968,1979,,,The Monte Christo counted among the most-sought after stories yet it was very hard to obtain. There were some Master story tellers who would profit a lot from being able to vividly retell these stories as a whole.,W0419,183,F,unknown work by P0084,Translation,en,2021-06-22,MG,2022-05-09,DP
A00181,AG0037,AT17,W0084,AG0626,1965,1973,,SP0012,Huang could tell Monte Christo off the top of his head. His audience were people who lacked this kind of knowledge.,W0445,110,,,,en,2018-07-10,MG,2020-12-08,MG
A00182,AG0003,AT17,W0084,AG0626,1970?,1972?,,SP0002,Zhang told the story of this Novel to Red Guards.,W0486,162f,,unknown work by: AG0303,,en,2018-04-06,MG,2020-04-04,DP
A00183,AG0010,AT05,W0087,,1970,1970,,,Duo Duo states that in the spring of 1970 Gan Huilis book ranked among the most popular ones,W0441,417,,,,en,2018-06-05,MG,2021-01-02,MG
A00184,AG0626,AT16,W0088,,1965~,1965~,,,the teachers were aware and touched by the irony of denouncing the unequal educational chances under Nationalist rule in the book while those were still existing shortly before the Cultural Revolution,W0496,134,,unknown work by: AG0626 G43 about AG0458,,en,2018-10-24,MG,2020-04-04,DP
A00185,AG0124,AT05,W0089,,1966,1976,,,Xiao Xiao mentions it as one of the most important neibu books of the CR,W0474,450,,,,en,2018-11-09,WH,2020-04-04,DP
