artwork_id,title,subtitle,title_lang,creator,art_form,first_performance_date,first_performance_place,neibu,commentary,note,created,created_by,last_modified,last_modified_by
W0545,Beiguo jiangnan,,zh-Latn-pinyin,P0432,AF02,1963,PL0003,no,,,2018-06-01,DM,2020-04-02,DP
W0546,Lenin in October,,en,P0382,AF02,,,no,,,2018-05-30,MG,2020-04-02,DP
W0546,列宁在十月,,zh,P0382,AF02,,,no,,,2018-05-30,MG,2020-04-02,DP
W0547,Lenin in 1918,,en,P0382,AF02,,,no,,,2018-05-30,MG,2020-04-02,DP
W0547,列宁在1918,,zh,P0382,AF02,,,no,,,2018-05-30,MG,2020-04-02,DP
W0548,The Tramp,,en,P0401,AF02,1955,PL0093,,,,2018-06-12,MG,2020-04-02,DP
W0548,流浪者,,zh,P0401,AF02,1955,PL0093,,,,2018-06-12,MG,2020-04-02,DP
W0549,Ol‘Man River,,en,P0404,AF05,1927,,,Show tune from the 1927 musical Show boat; Lyrics by: P0405,,2018-06-12,MG,2020-04-02,DP
W0549,老人河,,zh,P0404,AF05,1927,,,Show tune from the 1927 musical Show boat; Lyrics by: P0405,,2018-06-12,MG,2020-04-02,DP
W0550,The Sparkling Red Star,,en,P0410,AF02,1972,,,,,2018-06-25,MG,2020-04-02,DP
W0550,闪闪的红星,,zh,P0410,AF02,1972,,,,,2018-06-25,MG,2020-04-02,DP
W0551,The Shade of the Willow,,en,P0622,AF04,1953,PL0002,no,Translated by project member.,,2018-07-09,MG,2020-04-02,DP
W0551,柳荫记,,zh,P0622,AF04,1953,PL0002,no,,,2018-07-09,MG,2020-04-02,DP
W0552,Symphony No. 5,,en,P0095,AF05,1808,,,,,2018-08-03,MG,2020-04-02,DP
W0552,第五交响曲,,zh,P0095,AF05,1808,,,,,2018-08-03,MG,2020-04-02,DP
W0553,Symphony No. 9,,en,P0095,AF05,1824,PL0167,,,,2018-08-03,MG,2020-04-02,DP
W0553,第九交响曲,,zh,P0095,AF05,1824,PL0167,,,,2018-08-03,MG,2020-04-02,DP
W0554,unknown,,en,P0999,AF99,unknown,PL0999,unknown,,,2018-06-21,WH,2020-04-02,DP
W0555,Auld Lang Syne,,en,P0655,AF05,unknown,PL0999,unknown,the poem was written in 1788,,2018-11-06,MG,2020-04-02,DP
W0555,友谊地久天长,,zh,P0655,AF05,unknown,PL0999,unknown,the poem was written in 1788,,2018-11-06,MG,2020-04-02,DP
W0556,Les Chaises,,fr,P0262,AF03,1952,PL0047,yes,,,2018-11-07,MG,2020-04-02,DP
W0556,椅子,,zh,P0262,AF03,1952,PL0047,yes,,,2018-11-07,MG,2020-04-02,DP
W0557,Sun Hided Behind Mountain,,en,I0100,AF05,1970,unknown,,,,2018-11-04,WH,2020-04-02,DP
W0557,Солнце скрылось за горою,,ru,I0100,AF05,1970,unknown,,,,2018-11-04,WH,2020-04-02,DP
W0557,太阳落山,,zh,I0100,AF05,1970,unknown,,,,2018-11-04,WH,2020-04-02,DP
W0558,The Deep Sea,,en,P0999,AF05,unknown,unknown,,Translated by project member.,,2018-11-04,WH,2020-04-02,DP
W0558,O More Duboko,,hr,P0999,AF05,unknown,unknown,,,,2018-11-04,WH,2020-04-02,DP
W0558,深深的海洋,,zh,P0999,AF05,unknown,unknown,,,,2018-11-04,WH,2020-04-02,DP
W0559,Wave of anger,,en,P0704,AF02,1963,,,Translated by project member.,,2018-11-04,WH,2020-04-02,DP
W0559,怒潮,,zh,P0704,AF02,1963,,,,,2018-11-04,WH,2020-04-02,DP
W0560,Red Guards on Honghu Lake,,en,I0101,AF04,1950,,,It was later adapted into movie and TV shows.,,2018-11-04,WH,2020-04-02,DP
W0560,洪湖赤卫队,,zh,I0101,AF04,1950,,,,,2018-11-04,WH,2020-04-02,DP
W0561,Climbing the Taofeng Mountain Three Times,,en,I0102,AF04,1972,PL0417,,Translated by project member.,,2018-11-04,WH,2020-04-02,DP
W0561,三上桃峰,,zh,I0102,AF04,1972,PL0417,,,,2018-11-04,WH,2020-04-02,DP
W0562,National Anthem of China,,en,P0705,AF05,1935,,,Lyricis by P0706.,,2018-11-04,WH,2020-04-02,DP
W0562,中华人民共和国国歌,,zh,P0705,AF05,1935,,,Lyricis by P0706.,,2018-11-04,WH,2020-04-02,DP
W0563,The Internationale,,en,P0707,AF05,1888,,,Lyricis by P0708 in 1871.,,2018-11-04,WH,2020-04-02,DP
W0563,国际歌,,zh,P0707,AF05,1888,,,Lyricis by P0708 in 1871.,,2018-11-04,WH,2020-04-02,DP
W0564,A Song without Words,,en,P0999,AF05,1963,,,Insert song from W0565; translated by project member.,,2018-11-04,WH,2020-04-02,DP
W0564,一支无字的歌,,zh,P0999,AF05,1963,,,Insert song from W0565.,,2018-11-04,WH,2020-04-02,DP
W0565,Nong nu,,en,P0410,AF02,1963,,,,,2018-11-04,WH,2020-04-02,DP
W0565,农奴,,zh,P0410,AF02,1963,,,,,2018-11-04,WH,2020-04-02,DP
W0566,Come to the Sea,,en,P0999,AF05,,,,,,2018-11-04,WH,2020-04-02,DP
W0566,Vieni sul mar,,it,P0999,AF05,,,,,,2018-11-04,WH,2020-04-02,DP
W0566,来到海上,,zh,P0999,AF05,,,,,,2018-11-04,WH,2020-04-02,DP
W0567,Stele of Zhang Qian,,en,P0999,AF06,0186,,,,,2018-11-04,WH,2020-04-02,DP
W0567,张迁碑,,zh,P0999,AF06,0186,,,,,2018-11-04,WH,2020-04-02,DP
W0568,Londonderry Air,,en,P0999,AF05,,,,,,2018-11-06,WH,2020-04-02,DP
W0568,伦敦德里小调,,zh,I0105,AF05,,,,,,2018-11-06,WH,2020-04-02,DP
W0569,Model Mountain Township,,en,I0105,AF04,,,,,,2018-11-06,WH,2020-04-02,DP
W0569,模范山乡,,zh,I0105,AF04,,,,,,2018-11-06,WH,2020-04-02,DP
W0570,Dujuan Mountain,,en,I0107,AF04,1963,PL0003,,Original by I0106.,,2018-11-06,WH,2020-04-02,DP
W0570,杜鹃山,,zh,I0107,AF04,1963,PL0003,,Original by I0106.,,2018-11-06,WH,2020-04-02,DP
W0571,Ode to the Yimeng Mountains,,en,I0108,AF07,1973,PL0002,,,,2018-11-06,WH,2020-04-02,DP
W0571,沂蒙颂,,zh,I0108,AF07,1973,PL0002,,,,2018-11-06,WH,2020-04-02,DP
W0572,Serf’s Halberd,,en,I0109,AF04,,,,,,2018-11-06,WH,2020-04-02,DP
W0572,农奴戟,,zh,I0109,AF04,,,,,,2018-11-06,WH,2020-04-02,DP
W0573,The White Haired Girl,,en,I0110,AF04,1945,PL0021,,,,2018-11-06,WH,2020-04-02,DP
W0573,白毛女,,zh,I0110,AF04,1945,PL0021,,,,2018-11-06,WH,2020-04-02,DP
W0574,The White Haired Girl,,en,I0111,AF07,1965,PL0003,,It was adapted from W0573.,,2018-11-06,WH,2020-04-02,DP
W0574,白毛女,,zh,I0111,AF07,1965,PL0003,,It was adapted from W0573.,,2018-11-06,WH,2020-04-02,DP
W0575,The Yellow River,,en,P0717,AF05,1905,,,Lyricis by P0718.,,2018-11-06,WH,2020-04-02,DP
W0575,黄河,,zh,P0717,AF05,1905,,,Lyricis by P0718.,,2018-11-06,WH,2020-04-02,DP
W0576,Blue Street Light,,en,P0999,AF05,,,,,,2018-11-06,WH,2020-04-02,DP
W0576,蓝色的街灯,,zh,P0999,AF05,,,,,,2018-11-06,WH,2020-04-02,DP
W0577,Dream Garden,,en,P0719,AF05,1970,PL0089,,Translated by project member.,,2018-11-06,WH,2020-04-02,DP
W0577,寻梦园,,zh,P0719,AF05,1970,PL0089,,,,2018-11-06,WH,2020-04-02,DP
W0578,Night Star,,en,P0999,AF05,,,,Translated by project member.,,2018-11-06,WH,2020-04-02,DP
W0578,晚星,,zh,P0999,AF05,,,,,,2018-11-06,WH,2020-04-02,DP
W0579,Tangbula,,en,P0999,AF05,,,,,,2018-11-06,WH,2020-04-02,DP
W0579,唐布拉,,zh,P0999,AF05,,,,,,2018-11-06,WH,2020-04-02,DP
W0580,Bitter Coffee,,en,P0999,AF05,,,,Translated by project member.,,2018-11-06,WH,2020-04-02,DP
W0580,苦咖啡,,zh,P0999,AF05,,,,,,2018-11-06,WH,2020-04-02,DP
W0581,Waterloo Bridge,,en,P0999,AF05,,,,,,2018-11-06,WH,2020-04-02,DP
W0581,魂断蓝桥,,zh,P0999,AF05,,,,,,2018-11-06,WH,2020-04-02,DP
W0582,Farewell,,en,P0999,AF05,,,,Translated by project member.,,2018-11-06,WH,2020-04-02,DP
W0582,告别,,zh,P0999,AF05,,,,,,2018-11-06,WH,2020-04-02,DP
W0583,Eine kleine Nachtmusik,,de,P0720,AF05,,,,,,2018-11-06,WH,2020-04-02,DP
W0583,弦乐小夜曲,,zh,P0720,AF05,,,,,,2018-11-06,WH,2020-04-02,DP
W0584,Battleship Potemkin,,en,P0721,AF02,1925,,,,,2018-11-07,WH,2020-04-02,DP
W0584,Броненосец Потёмкин,,ru,P0721,AF02,1925,,,,,2018-11-07,WH,2020-04-02,DP
W0584,战舰波将金号,,zh,P0721,AF02,1925,,,,,2018-11-07,WH,2020-04-02,DP
W0585,The Forty-First,,en,P0722,AF02,1956,,,,,2018-11-07,WH,2020-04-02,DP
W0585,Сорок первый,,ru,P0722,AF02,1956,,,,,2018-11-07,WH,2020-04-02,DP
W0585,第四十一,,zh,P0722,AF02,1956,,,,,2018-11-07,WH,2020-04-02,DP
W0586,Bicycle Thieves,,en,P0723,AF02,1948,,,,,2018-11-07,WH,2020-04-02,DP
W0586,Ladri di biciclette,,it,P0723,AF02,1948,,,,,2018-11-07,WH,2020-04-02,DP
W0586,偷自行车的人,,zh,P0723,AF02,1948,,,,,2018-11-07,WH,2020-04-02,DP
W0587,Accattone,,it,P0724,AF02,1961,,,It was also called “迷惘的一代”.,,2018-11-07,WH,2020-04-02,DP
W0587,乞丐,,zh,P0724,AF02,1961,,,It was also called “迷惘的一代”.,,2018-11-07,WH,2020-04-02,DP
W0588,Last Year at Marienbad,,en,P0725,AF02,1961,,,It was also translated to “去年在马里安巴”.,,2018-11-07,WH,2020-04-02,DP
W0588,L'année dernière à Marienbad,,fr,P0725,AF02,1961,,,It was also translated to “去年在马里安巴”.,,2018-11-07,WH,2020-04-02,DP
W0588,去年在马伦巴,,zh,P0725,AF02,1961,,,It was also translated to “去年在马里安巴”.,,2018-11-07,WH,2020-04-02,DP
W0589,Admiral Yamamoto,,en,P0726,AF02,1968,,,,,2018-11-08,WH,2020-04-02,DP
W0589,連合艦隊司令長官 山本五十六,,jp,P0726,AF02,1968,,,,,2018-11-08,WH,2020-04-02,DP
W0589,连合舰队司令长官 山本五十六,,zh,P0726,AF02,1968,,,,,2018-11-08,WH,2020-04-02,DP
W0590,"Ah, navy",,en,P0727,AF02,1969,,,,,2018-11-08,WH,2020-04-02,DP
W0590,あ，海軍,,jp,P0727,AF02,1969,,,,,2018-11-08,WH,2020-04-02,DP
W0590,啊，海军,,zh,P0727,AF02,1969,,,,,2018-11-08,WH,2020-04-02,DP
W0591,Tora! Tora! Tora!,,en,P0728,AF02,1970,,,,,2018-11-08,WH,2020-04-02,DP
W0591,トラ・トラ・トラ!,,jp,P0728,AF02,1970,,,,,2018-11-08,WH,2020-04-02,DP
W0591,虎！虎！虎！,,zh,P0728,AF02,1970,,,,,2018-11-08,WH,2020-04-02,DP
W0592,Battle of the Japan Sea,,en,P0726,AF02,1969,,,,,2018-11-08,WH,2020-04-02,DP
W0592,日本海大海戦,,jp,P0726,AF02,1969,,,,,2018-11-08,WH,2020-04-02,DP
W0592,日本海大海战,,zh,P0726,AF02,1969,,,,,2018-11-08,WH,2020-04-02,DP
W0593,Explosion,,en,P0729,AF02,1973,,,,,2018-11-08,WH,2020-04-02,DP
W0593,Explozia,,ro,P0729,AF02,1973,,,,,2018-11-08,WH,2020-04-02,DP
W0593,爆炸,,zh,P0729,AF02,1973,,,,,2018-11-08,WH,2020-04-02,DP
W0594,Three Rules of Discipline and Eight Points for Attention,,en,P0999,AF05,1981..,,,,,2018-11-10,WH,2020-04-02,DP
W0594,三大纪律，八项注意,,zh,P0999,AF05,1981..,,,,,2018-11-10,WH,2020-04-02,DP
W0595,On the Docks,,en,P0732,AF04,1964,,,,,2018-11-10,WH,2020-04-02,DP
W0595,海港,,zh,P0732,AF04,1964,,,,,2018-11-10,WH,2020-04-02,DP
W0596,Narrow Street,,en,P0733,AF02,1981,,,,,2018-11-10,WH,2020-04-02,DP
W0596,小街,,zh,P0733,AF02,1981,,,,,2018-11-10,WH,2020-04-02,DP
W0597,The Red Guards on the grassland saw Chairman Mao,,en,P0999,AF05,19xx,,,,,2018-11-11,WH,2020-04-02,DP
W0597,草原上的红卫兵见到了毛主席,,zh,P0999,AF05,19xx,,,,,2018-11-11,WH,2020-04-02,DP
W0598,Yanbian people love Chairman Mao,,en,P0734,AF03,1971,,,,,2018-11-11,WH,2020-04-02,DP
W0598,延边人民热爱毛主席,,zh,P0734,AF03,1971,,,,,2018-11-11,WH,2020-04-02,DP
W0599,Red Detachment of Women,,en,P0737,AF04,1958,,,Original by P0735.,,2018-11-11,WH,2020-04-02,DP
W0599,红色娘子军,,zh,P0737,AF04,1958,,,Original by P0735.,,2018-11-11,WH,2020-04-02,DP
W0600,Red Detachment of Women,,en,P0736,AF02,1962,,,,,2018-11-13,WH,2020-04-02,DP
W0600,红色娘子军,,zh,P0736,AF02,1962,,,,,2018-11-13,WH,2020-04-02,DP
W0601,Troika,,en,P0999,AF05,19xx,,,,,2018-11-13,WH,2020-04-02,DP
W0601,Вот мчится тройка почтовая,,ru,P0999,AF05,19xx,,,,,2018-11-13,WH,2020-04-02,DP
W0601,三套车,,zh,P0999,AF05,19xx,,,,,2018-11-13,WH,2020-04-02,DP
W0602,Siganushka,,en,P0999,AF05,,,,,,2018-11-13,WH,2020-04-02,DP
W0602,黑眼睛的姑娘,,zh,P0999,AF05,,,,,,2018-11-13,WH,2020-04-02,DP
W0603,River Water,,en,P0999,AF05,,,,Translated by project member.,,2018-11-13,WH,2020-04-02,DP
W0603,江河水,,zh,P0999,AF05,,,,,,2018-11-13,WH,2020-04-02,DP
W0604,Boarding the Jinggangshan Again,,en,P0999,AF03,19xx,,,Translated by project member.,,2018-11-13,WH,2020-04-02,DP
W0604,重上井冈山,,zh,P0999,AF03,19xx,,,,,2018-11-13,WH,2020-04-02,DP
W0605,Chairman Mao’s Brilliance Illuminates the Stove,,en,P0999,AF05,,,,Translated by project member.,,2018-11-14,WH,2020-04-02,DP
W0605,毛主席的光辉把炉台照亮,,zh,P0999,AF05,,,,,,2018-11-14,WH,2020-04-02,DP
W0606,Ural Rowan Tree,,en,P0740,AF05,1953,,,Lyricis by P0741.,,2018-11-14,WH,2020-04-02,DP
W0606,Уральская рябинушка,,ru,P0740,AF05,1953,,,Lyricis by P0741.,,2018-11-14,WH,2020-04-02,DP
W0606,山楂树,,zh,P0740,AF05,1953,,,Lyricis by P0741.,,2018-11-14,WH,2020-04-02,DP
W0607,Chairman Mao Traveled Across the Motherland,,en,P0742,AF05,1972,,,Translated by project member. Lyricis by P0743.,,2018-11-15,WH,2020-04-02,DP
W0607,毛主席走遍祖国大地,,zh,P0742,AF05,1972,,,Lyricis by P0743.,,2018-11-15,WH,2020-04-02,DP
W0608,Roars and groans the Dnipro,,en,P0745,AF05,188x?,,,Lyricis by P0746.,,2018-11-24,WH,2020-04-02,DP
W0608,Реве та стогне Дніпр широкий,,ru,P0745,AF05,188x?,,,Lyricis by P0746.,,2018-11-24,WH,2020-04-02,DP
W0608,第聂伯尔,,zh,P0745,AF05,188x?,,,Lyricis by P0746.,,2018-11-24,WH,2020-04-02,DP
W0609,Cao Quan’s Stele,,en,P0747,AF06,0185,,,,,2018-11-25,WH,2020-04-02,DP
W0609,曹全碑,,zh,P0747,AF06,0185,,,,,2018-11-25,WH,2020-04-02,DP
W0610,North Sea sketch,,en,P0748,AF01,19xx,,,,,2018-11-25,WH,2020-04-02,DP
W0610,北海写生,,zh,P0748,AF01,19xx,,,,,2018-11-25,WH,2020-04-02,DP
W0611,A Soldier's Experience,,en,P0999,AF02,,,,Translated by project member.,,2018-11-25,WH,2020-04-02,DP
W0611,一个士兵的经历,,zh,P0999,AF02,,,,,,2018-11-25,WH,2020-04-02,DP
W0612,The Ghost Goes West,,en,P0749,AF02,1935,,,,,2018-11-25,WH,2020-04-02,DP
W0612,鬼魂西行,,zh,P0749,AF02,1935,,,,,2018-11-25,WH,2020-04-02,DP
W0613,The Spessart Inn,,en,P0750,AF02,1958,,,,,2018-11-25,WH,2020-04-02,DP
W0613,神童,,zh,P0750,AF02,1958,,,,,2018-11-25,WH,2020-04-02,DP
W0614,Roses for the Prosecutor,,en,P0751,AF02,1959,,,,,2018-11-25,WH,2020-04-02,DP
W0614,献给检察官的玫瑰花,,zh,P0751,AF02,1959,,,,,2018-11-25,WH,2020-04-02,DP
W0615,The Haunted Castle,,en,P0750,AF02,1960,,,,,2018-11-25,WH,2020-04-02,DP
W0615,古堡幽灵,,zh,P0750,AF02,1960,,,,,2018-11-25,WH,2020-04-02,DP
W0616,Army of Shadows,,en,P0752,AF02,1957,,,,,2018-11-25,WH,2020-04-02,DP
W0616,影子部队,,zh,P0752,AF02,1957,,,,,2018-11-25,WH,2020-04-02,DP
W0617,The Red and the Black,,en,P0753,AF02,1954,,,,,2018-11-25,WH,2020-04-02,DP
W0617,红与黑,,zh,P0753,AF02,1954,,,,,2018-11-25,WH,2020-04-02,DP
W0618,Nights of Cabiria,,en,P0754,AF02,1957,,,,,2018-11-25,WH,2020-04-02,DP
W0618,她在黑夜中,,zh,P0754,AF02,1957,,,,,2018-11-25,WH,2020-04-02,DP
W0619,Traumrevue,,de,P0755,AF02,1959,,,,,2018-11-25,WH,2020-04-02,DP
W0619,冰上的梦,,zh,P0755,AF02,1959,,,,,2018-11-25,WH,2020-04-02,DP
W0620,Mona Lisa,,en,P0660,AF01,1503,,no,,,2018-11-14,MG,2020-04-02,DP
W0620,蒙娜丽萨,,zh,P0660,AF01,1503,,no,,,2018-11-14,MG,2020-04-02,DP
W0621,The Moon Represents my Heart,,en,P0664,AF05,1977,PL0999,no,,,2018-11-18,MG,2020-04-02,DP
W0621,月亮代表我的心,,zh,P0664,AF05,1977,PL0999,no,,,2018-11-18,MG,2020-04-02,DP
W0622,空山鸟语,,zh,P0683,AF05,unknown,PL0999,,,,2018-12-12,MG,2020-04-02,DP
W0623,毛主席去安源,,zh,P0681,AF01,unknown,PL0999,,,,2018-12-12,MG,2020-04-02,DP
W0624,决裂,,zh,P0678,AF02,1975,PL0002,no,,,2018-12-12,MG,2020-04-02,DP
W0625,Tormented by Grievous Bondage,,en,P0697,AF05,18xx,PL0999,no,,,2018-12-30,MG,2020-04-02,DP
W0625,光荣牺牲,,zh,P0697,AF05,18xx,PL0999,no,,,2018-12-30,MG,2020-04-02,DP
W0626,Tunnel War,,en,P0699,AF02,1965,PL0002,no,,,2019-01-02,MG,2020-04-02,DP
W0626,地道战,,zh,P0699,AF02,1965,PL0002,no,,,2019-01-02,MG,2020-04-02,DP
W0627,Double Marriage,,en,P0767,AF03,1956,,no,Translated by project member.,,2018-12-23,WH,2020-04-02,DP
W0627,双婚记,,zh,P0767,AF03,1956,,no,,,2018-12-23,WH,2020-04-02,DP
W0628,Long March Chorus,,en,P0768,AF05,1965,,,,,2018-12-23,WH,2020-04-02,DP
W0628,长征组歌,,zh,P0768,AF05,1965,,,,,2018-12-23,WH,2020-04-02,DP
W0629,February,,en,P0771,AF02,1963,,,Translated by project member.,,2018-12-24,WH,2020-04-02,DP
W0629,早春二月,,zh,P0771,AF02,1963,,,,,2018-12-24,WH,2020-04-02,DP
W0630,The Peach Blossom Fan,,en,P0804,AF03,1699~,PL0999,,,,2019-02-18,MG,2020-04-02,DP
W0630,桃花扇,,zh,P0804,AF03,1699~,PL0999,,,,2019-02-18,MG,2020-04-02,DP
W0631,When Will You Return?,,en,P0776,AF05,1939,,,,,2019-01-28,WH,2020-04-02,DP
W0631,何日君再来,,zh,P0776,AF05,1939,,,,,2019-01-28,WH,2020-04-02,DP
W0632,Chaoyang Village,,en,P0779,AF04,1958,PL0092,,Translated by project member.,,2019-02-17,WH,2020-04-02,DP
W0632,朝阳沟,,zh,P0779,AF04,1958,PL0092,,,,2019-02-17,WH,2020-04-02,DP
W0633,Where is China going?,,en,P0061,AF09,,,,Translated by project member.,,2019-02-17,WH,2020-04-02,DP
W0633,中国向何处去？,,zh,P0061,AF09,,,,,,2019-02-17,WH,2020-04-02,DP
W0634,Road Test,,en,P0789,AF02,1965,,,Translated by project member.,,2019-02-23,WH,2020-04-02,DP
W0634,路考,,zh,P0789,AF02,1965,,,,,2019-02-23,WH,2020-04-02,DP
W0635,Business Startup,,en,P0789,AF02,1974,,,Translated by project member.,,2019-02-23,WH,2020-04-02,DP
W0635,创业,,zh,P0789,AF02,1974,,,,,2019-02-23,WH,2020-04-02,DP
W0636,Railway Ruerrilla,,en,P0790,AF02,1956,,,,,2019-02-23,WH,2020-04-02,DP
W0636,铁道游击队,,zh,P0790,AF02,1956,,,,,2019-02-23,WH,2020-04-02,DP
W0637,Sorrows of the Forbidden City,,en,P0793,AF02,1948,,,,,2019-02-24,WH,2020-04-02,DP
W0637,清宫秘史,,zh,P0793,AF02,1948,,,,,2019-02-24,WH,2020-04-02,DP
W0638,Two Hundred Famous Foreign Songs,,en,P0999,AF05,unknown,,,Translated by project member.,,2019-02-25,WH,2020-04-02,DP
W0638,外国名歌二百首,,zh,P0999,AF05,unknown,,,,,2019-02-25,WH,2020-04-02,DP
W0639,Vltava,,cs,P0445,AF05,1882,PL0065,,,,2019-08-21,MG,2020-04-02,DP
W0639,The Moldau,,en,P0445,AF05,1882,PL0065,,,,2019-08-21,MG,2020-04-02,DP
W0639,伏尔塔瓦河,,zh,P0445,AF05,1882,PL0065,,,,2019-08-21,MG,2020-04-02,DP
